number,avg_qlike,datetime_start,datetime_complete,duration,L,batch_size,hidden_dim,kernel_size,learning_rate,num_attention_heads,num_lstm_layers,optimizer,shrinkage_phi,user_attrs_avg_frobenius,user_attrs_n_forecasts,user_attrs_n_updates,state,avg_frobenius,n_forecasts,n_updates
11,15.277426446966137,2026-03-20 14:20:54.141452,2026-03-20 14:23:27.458990,0 days 00:02:33.317538,40,256,256,7,0.001,8,3,SGD,0.6,0.0027987758194375155,485.0,484.0,COMPLETE,0.0027987758194375155,485.0,484.0
28,15.310557173959946,2026-03-20 16:04:34.979206,2026-03-20 16:18:32.466599,0 days 00:13:57.487393,250,128,256,5,1e-05,16,6,SGD,0.6,0.0026828521495432223,485.0,484.0,COMPLETE,0.0026828521495432223,485.0,484.0
49,15.401447970959776,2026-03-20 18:21:56.238299,2026-03-20 18:24:37.600730,0 days 00:02:41.362431,80,128,64,3,1e-05,32,6,SGD,0.8,0.003003925022093193,485.0,484.0,COMPLETE,0.003003925022093193,485.0,484.0
45,15.41390393188358,2026-03-20 18:12:01.992209,2026-03-20 18:17:15.839701,0 days 00:05:13.847492,40,128,256,7,0.001,16,6,SGD,0.6,0.00277480612973736,485.0,484.0,COMPLETE,0.00277480612973736,485.0,484.0
16,15.478616075297623,2026-03-20 14:42:11.784790,2026-03-20 14:44:53.052679,0 days 00:02:41.267889,100,128,64,3,1e-05,4,6,SGD,0.8,0.0030078834566865595,485.0,484.0,COMPLETE,0.0030078834566865595,485.0,484.0
43,15.506725168502841,2026-03-20 17:56:25.086118,2026-03-20 18:06:11.389911,0 days 00:09:46.303793,100,128,256,7,1e-05,8,6,SGD,0.6,0.002796319392531557,485.0,484.0,COMPLETE,0.002796319392531557,485.0,484.0
34,15.566311390133901,2026-03-20 16:55:47.506388,2026-03-20 16:59:45.849896,0 days 00:03:58.343508,40,128,256,7,1e-05,4,4,SGD,0.6,0.002819861447000384,485.0,484.0,COMPLETE,0.002819861447000384,485.0,484.0
21,15.617357678234633,2026-03-20 15:31:07.553599,2026-03-20 15:38:27.225567,0 days 00:07:19.671968,60,64,256,7,1e-05,8,6,SGD,0.6,0.0028446569520025698,485.0,484.0,COMPLETE,0.0028446569520025698,485.0,484.0
22,15.821202732819858,2026-03-20 15:38:27.226370,2026-03-20 15:42:25.106736,0 days 00:03:57.880366,40,256,256,3,1e-05,8,6,SGD,0.8,0.002974996160415585,485.0,484.0,COMPLETE,0.002974996160415585,485.0,484.0
33,15.833801663303234,2026-03-20 16:44:26.501009,2026-03-20 16:55:47.505647,0 days 00:11:21.004638,100,128,256,7,1e-05,8,7,SGD,0.6,0.002809463980594654,485.0,484.0,COMPLETE,0.002809463980594654,485.0,484.0
31,15.874274640324872,2026-03-20 16:24:30.451703,2026-03-20 16:34:31.058025,0 days 00:10:00.606322,100,128,256,7,1e-05,8,6,SGD,0.6,0.0028714431009313718,485.0,484.0,COMPLETE,0.0028714431009313718,485.0,484.0
4,15.953237579724123,2026-03-20 14:03:54.497889,2026-03-20 14:06:31.984717,0 days 00:02:37.486828,40,256,256,7,0.001,16,3,SGD,0.6,0.0027817485945738508,485.0,484.0,COMPLETE,0.0027817485945738508,485.0,484.0
38,16.04160864069682,2026-03-20 17:21:54.322772,2026-03-20 17:23:52.262286,0 days 00:01:57.939514,60,32,32,5,0.0001,8,5,SGD,0.6,0.0027871683979258173,485.0,484.0,COMPLETE,0.0027871683979258173,485.0,484.0
13,16.736950410005527,2026-03-20 14:27:06.629932,2026-03-20 14:30:01.626416,0 days 00:02:54.996484,60,128,64,7,0.001,8,7,SGD,0.6,0.0027328491292597044,485.0,484.0,COMPLETE,0.0027328491292597044,485.0,484.0
41,16.842564832524847,2026-03-20 17:36:43.261812,2026-03-20 17:46:32.801149,0 days 00:09:49.539337,100,128,256,7,1e-05,8,6,SGD,0.6,0.0027764736829370123,485.0,484.0,COMPLETE,0.0027764736829370123,485.0,484.0
12,17.155080379224128,2026-03-20 14:23:27.459837,2026-03-20 14:27:06.629144,0 days 00:03:39.169307,250,256,64,7,0.001,8,3,SGD,0.8,0.0027364764866542345,485.0,484.0,COMPLETE,0.0027364764866542345,485.0,484.0
40,17.327590761517687,2026-03-20 17:32:20.945496,2026-03-20 17:36:43.261010,0 days 00:04:22.315514,100,256,128,3,0.0001,2,6,SGD,0.4,0.002759771341626933,485.0,484.0,COMPLETE,0.002759771341626933,485.0,484.0
6,17.510154499580377,2026-03-20 14:09:42.021127,2026-03-20 14:10:31.919130,0 days 00:00:49.898003,20,256,128,3,0.0001,32,4,SGD,0.4,0.002702520139836946,485.0,484.0,COMPLETE,0.002702520139836946,485.0,484.0
1,17.63815495592695,2026-03-20 13:54:22.752428,2026-03-20 13:59:13.181242,0 days 00:04:50.428814,40,64,256,5,1e-05,4,7,SGD,0.4,0.00275592770776971,485.0,484.0,COMPLETE,0.00275592770776971,485.0,484.0
35,17.900658764254302,2026-03-20 16:59:45.850682,2026-03-20 17:10:26.966417,0 days 00:10:41.115735,100,64,256,5,1e-05,16,6,SGD,0.4,0.0027351724315684157,485.0,484.0,COMPLETE,0.0027351724315684157,485.0,484.0
2,18.272705335232736,2026-03-20 13:59:13.182015,2026-03-20 14:03:54.496193,0 days 00:04:41.314178,120,32,128,3,1e-05,16,4,Adam,0.8,0.0020748683913518356,485.0,484.0,COMPLETE,0.0020748683913518356,485.0,484.0
18,19.51775821224691,2026-03-20 14:46:59.770798,2026-03-20 14:47:43.379502,0 days 00:00:43.608704,20,128,64,3,0.0001,8,6,Adam,0.8,0.002122879181228609,485.0,484.0,COMPLETE,0.002122879181228609,485.0,484.0
26,19.863179433678827,2026-03-20 16:01:43.795558,2026-03-20 16:04:34.975565,0 days 00:02:51.180007,60,64,128,3,1e-05,2,5,Adam,0.4,0.0024938626349002195,485.0,484.0,COMPLETE,0.0024938626349002195,485.0,484.0
46,21.57538713113359,2026-03-20 18:17:15.840449,2026-03-20 18:18:14.563474,0 days 00:00:58.723025,20,64,64,7,1e-05,8,7,SGD,0.8,0.0030342435908591535,485.0,484.0,COMPLETE,0.0030342435908591535,485.0,484.0
19,22.517734739077547,2026-03-20 14:47:43.380267,2026-03-20 15:21:36.204352,0 days 00:33:52.824085,250,128,256,3,1e-05,8,6,SGD,1.0,0.003098408209578923,485.0,484.0,COMPLETE,0.003098408209578923,485.0,484.0
36,22.594991515966264,2026-03-20 17:10:26.967167,2026-03-20 17:21:54.318388,0 days 00:11:27.351221,120,128,256,7,0.0001,8,6,Adam,0.8,0.00225715798298458,485.0,484.0,COMPLETE,0.00225715798298458,485.0,484.0
17,23.86549461067263,2026-03-20 14:44:53.053473,2026-03-20 14:46:59.769976,0 days 00:02:06.716503,100,128,32,3,1e-05,2,6,SGD,0.8,0.003029155743702772,485.0,484.0,COMPLETE,0.003029155743702772,485.0,484.0
25,24.77072022273295,2026-03-20 16:00:23.365925,2026-03-20 16:01:43.794793,0 days 00:01:20.428868,40,256,64,7,0.0001,4,4,SGD,0.2,0.0028570630073573846,485.0,484.0,COMPLETE,0.0028570630073573846,485.0,484.0
39,24.816526996631065,2026-03-20 17:23:52.263092,2026-03-20 17:32:20.944730,0 days 00:08:28.681638,120,128,256,7,1e-05,32,4,Adam,0.2,0.002831412874027582,485.0,484.0,COMPLETE,0.002831412874027582,485.0,484.0
5,26.726987609865738,2026-03-20 14:06:31.985747,2026-03-20 14:09:42.020297,0 days 00:03:10.034550,120,64,32,5,0.0001,2,6,Adam,0.2,0.002829132039157243,485.0,484.0,COMPLETE,0.002829132039157243,485.0,484.0
0,145.83238680494392,2026-03-20 13:52:00.639394,2026-03-20 13:54:22.750197,0 days 00:02:22.110803,60,32,64,5,0.0001,32,5,SGD,0.0,0.003193725736377654,485.0,484.0,COMPLETE,0.003193725736377654,485.0,484.0
29,145.83238680494392,2026-03-20 16:18:32.467824,2026-03-20 16:22:00.845581,0 days 00:03:28.377757,60,32,64,7,0.0001,32,5,SGD,0.0,0.003193725736377654,485.0,484.0,COMPLETE,0.003193725736377654,485.0,484.0
48,145.83238680494392,2026-03-20 18:18:14.567260,2026-03-20 18:21:56.237487,0 days 00:03:41.670227,60,256,256,7,0.001,8,3,SGD,0.0,0.003193725736377654,485.0,484.0,COMPLETE,0.003193725736377654,485.0,484.0
7,145.83259796802096,2026-03-20 14:10:31.919878,2026-03-20 14:16:30.146698,0 days 00:05:58.226820,80,128,256,3,0.0001,32,5,Adam,0.0,0.003193725730080271,485.0,484.0,COMPLETE,0.003193725730080271,485.0,484.0
10,9899.78626102846,2026-03-20 14:18:10.684886,2026-03-20 14:20:54.140394,0 days 00:02:43.455508,60,128,64,7,0.001,8,6,Adam,1.0,0.002753508886578164,485.0,484.0,COMPLETE,0.002753508886578164,485.0,484.0
3,,2026-03-20 14:03:54.497021,2026-03-20 14:03:54.497381,0 days 00:00:00.000360,120,256,32,5,0.0001,6,6,SGD,0.0,,,,PRUNED,,,
9,,2026-03-20 14:18:10.683905,2026-03-20 14:18:10.684476,0 days 00:00:00.000571,100,128,128,3,0.001,6,3,SGD,0.2,,,,PRUNED,,,
27,,2026-03-20 16:04:34.976326,2026-03-20 16:04:34.978860,0 days 00:00:00.002534,20,32,32,3,0.0001,6,6,SGD,1.0,,,,PRUNED,,,
37,,2026-03-20 17:21:54.319458,2026-03-20 17:21:54.322444,0 days 00:00:00.002986,40,256,128,3,1e-05,6,6,SGD,0.0,,,,PRUNED,,,
47,,2026-03-20 18:18:14.564269,2026-03-20 18:18:14.566935,0 days 00:00:00.002666,100,128,32,3,0.0001,6,6,Adam,1.0,,,,PRUNED,,,
