number,avg_qlike,datetime_start,datetime_complete,duration,L,batch_size,hidden_dim,kernel_size,learning_rate,num_attention_heads,num_lstm_layers,optimizer,shrinkage_phi,user_attrs_avg_frobenius,user_attrs_n_forecasts,user_attrs_n_updates,state,avg_frobenius,n_forecasts,n_updates
15,14.287254234904266,2026-03-20 14:34:20.618933,2026-03-20 14:42:11.783970,0 days 00:07:51.165037,100,128,256,3,1e-05,8,6,SGD,0.8,0.002995933439976971,485.0,484.0,COMPLETE,0.002995933439976971,485.0,484.0
32,14.47315773362681,2026-03-20 16:34:31.058775,2026-03-20 16:44:26.500246,0 days 00:09:55.441471,100,128,256,7,1e-05,8,6,SGD,0.6,0.0028081987392542572,485.0,484.0,COMPLETE,0.0028081987392542572,485.0,484.0
42,14.599355357402613,2026-03-20 17:46:32.801896,2026-03-20 17:56:25.085352,0 days 00:09:52.283456,100,128,256,7,1e-05,8,6,SGD,0.6,0.002879481815090253,485.0,484.0,COMPLETE,0.002879481815090253,485.0,484.0
8,14.674077355691592,2026-03-20 14:16:30.147920,2026-03-20 14:18:10.682772,0 days 00:01:40.534852,60,128,64,3,0.0001,8,6,SGD,0.8,0.0030396985818001,485.0,484.0,COMPLETE,0.0030396985818001,485.0,484.0
14,14.859961852674433,2026-03-20 14:30:01.627263,2026-03-20 14:34:20.617930,0 days 00:04:18.990667,40,256,256,7,1e-05,8,6,SGD,0.6,0.0028322649732734706,485.0,484.0,COMPLETE,0.0028322649732734706,485.0,484.0
23,14.98875973135946,2026-03-20 15:42:25.107562,2026-03-20 15:51:46.449469,0 days 00:09:21.341907,100,128,256,7,1e-05,8,6,SGD,0.6,0.0028593459565470236,485.0,484.0,COMPLETE,0.0028593459565470236,485.0,484.0
30,15.108515082719574,2026-03-20 16:22:00.846322,2026-03-20 16:24:30.450920,0 days 00:02:29.604598,80,256,64,5,1e-05,8,6,SGD,0.8,0.0030678043574920424,485.0,484.0,COMPLETE,0.0030678043574920424,485.0,484.0
20,15.147570326847509,2026-03-20 15:21:36.205525,2026-03-20 15:31:07.552817,0 days 00:09:31.347292,80,32,256,3,1e-05,8,7,SGD,0.8,0.0029435527599049782,485.0,484.0,COMPLETE,0.0029435527599049782,485.0,484.0
24,15.159729189520219,2026-03-20 15:51:46.450650,2026-03-20 16:00:23.365172,0 days 00:08:36.914522,100,128,256,3,1e-05,8,6,SGD,0.8,0.0030063700640606864,485.0,484.0,COMPLETE,0.0030063700640606864,485.0,484.0
44,15.19910333185846,2026-03-20 18:06:11.390978,2026-03-20 18:12:01.991466,0 days 00:05:50.600488,100,128,256,7,1e-05,8,3,SGD,0.6,0.00287779202590947,485.0,484.0,COMPLETE,0.00287779202590947,485.0,484.0
