Date,cov_US_EQUITY__US_EQUITY,cov_US_EQUITY__INTL_EQUITY,cov_US_EQUITY__US_BONDS,cov_US_EQUITY__INTL_BONDS,cov_US_EQUITY__US_REIT,cov_US_EQUITY__INTL_REIT,cov_US_EQUITY__GOLD,cov_US_EQUITY__BTC,cov_INTL_EQUITY__US_EQUITY,cov_INTL_EQUITY__INTL_EQUITY,cov_INTL_EQUITY__US_BONDS,cov_INTL_EQUITY__INTL_BONDS,cov_INTL_EQUITY__US_REIT,cov_INTL_EQUITY__INTL_REIT,cov_INTL_EQUITY__GOLD,cov_INTL_EQUITY__BTC,cov_US_BONDS__US_EQUITY,cov_US_BONDS__INTL_EQUITY,cov_US_BONDS__US_BONDS,cov_US_BONDS__INTL_BONDS,cov_US_BONDS__US_REIT,cov_US_BONDS__INTL_REIT,cov_US_BONDS__GOLD,cov_US_BONDS__BTC,cov_INTL_BONDS__US_EQUITY,cov_INTL_BONDS__INTL_EQUITY,cov_INTL_BONDS__US_BONDS,cov_INTL_BONDS__INTL_BONDS,cov_INTL_BONDS__US_REIT,cov_INTL_BONDS__INTL_REIT,cov_INTL_BONDS__GOLD,cov_INTL_BONDS__BTC,cov_US_REIT__US_EQUITY,cov_US_REIT__INTL_EQUITY,cov_US_REIT__US_BONDS,cov_US_REIT__INTL_BONDS,cov_US_REIT__US_REIT,cov_US_REIT__INTL_REIT,cov_US_REIT__GOLD,cov_US_REIT__BTC,cov_INTL_REIT__US_EQUITY,cov_INTL_REIT__INTL_EQUITY,cov_INTL_REIT__US_BONDS,cov_INTL_REIT__INTL_BONDS,cov_INTL_REIT__US_REIT,cov_INTL_REIT__INTL_REIT,cov_INTL_REIT__GOLD,cov_INTL_REIT__BTC,cov_GOLD__US_EQUITY,cov_GOLD__INTL_EQUITY,cov_GOLD__US_BONDS,cov_GOLD__INTL_BONDS,cov_GOLD__US_REIT,cov_GOLD__INTL_REIT,cov_GOLD__GOLD,cov_GOLD__BTC,cov_BTC__US_EQUITY,cov_BTC__INTL_EQUITY,cov_BTC__US_BONDS,cov_BTC__INTL_BONDS,cov_BTC__US_REIT,cov_BTC__INTL_REIT,cov_BTC__GOLD,cov_BTC__BTC
2021-01-04,9.927112363398104e-05,9.549208893571815e-05,7.828364006229452e-05,7.754341251363209e-05,9.613696724767735e-05,9.366036207140332e-05,8.374789374716415e-05,0.00010556069385032023,9.549208893571815e-05,0.00010360412261486418,7.72535567377711e-05,7.651283553148917e-05,9.393651762818504e-05,0.00010210502541801218,8.256272110268318e-05,9.282480805660995e-05,7.828364006229452e-05,7.72535567377711e-05,7.87920747779346e-05,7.847357891803777e-05,7.804284448067614e-05,7.781204120422817e-05,7.892064149133586e-05,8.197846937413733e-05,7.754341251363209e-05,7.651283553148917e-05,7.847357891803777e-05,7.86219056654983e-05,7.724003312123644e-05,7.664151289265238e-05,7.847406538726558e-05,7.708737204027745e-05,9.613696724767735e-05,9.393651762818504e-05,7.804284448067614e-05,7.724003312123644e-05,0.00011149794524226764,9.788206748929003e-05,8.169299697469894e-05,0.00010679612022355661,9.366036207140332e-05,0.00010210502541801218,7.781204120422817e-05,7.664151289265238e-05,9.788206748929003e-05,0.00011082780555976968,8.37478133012839e-05,9.914669339681763e-05,8.374789374716415e-05,8.256272110268318e-05,7.892064149133586e-05,7.847406538726558e-05,8.169299697469894e-05,8.37478133012839e-05,0.00010109031203876429,9.837270032787014e-05,0.00010556069385032023,9.282480805660995e-05,8.197846937413733e-05,7.708737204027745e-05,0.00010679612022355661,9.914669339681763e-05,9.837270032787014e-05,0.000702931866738849
2021-01-05,9.221894081294817e-05,8.509584653331099e-05,6.90382038763631e-05,6.822532922848805e-05,9.326367250613221e-05,8.582931351239997e-05,6.963752225560772e-05,7.47853973262442e-05,8.509584653331099e-05,9.423531665740612e-05,6.770176219545708e-05,6.70883664511957e-05,8.215329890370875e-05,9.172333049708695e-05,7.375006010682204e-05,8.41894236552708e-05,6.90382038763631e-05,6.770176219545708e-05,6.936745000373648e-05,6.903282671173536e-05,6.9185273753603e-05,6.851240540562724e-05,6.911595466378144e-05,7.097055216325984e-05,6.822532922848805e-05,6.70883664511957e-05,6.903282671173536e-05,6.91658154300385e-05,6.811091335412752e-05,6.734037569452481e-05,6.897376344550461e-05,6.758976387473329e-05,9.326367250613221e-05,8.215329890370875e-05,6.9185273753603e-05,6.811091335412752e-05,0.00011652307134480056,9.21115083382642e-05,6.103846656141119e-05,4.7173118644277966e-05,8.582931351239997e-05,9.172333049708695e-05,6.851240540562724e-05,6.734037569452481e-05,9.21115083382642e-05,0.00010207042977222797,7.054693095494592e-05,7.1759527998606e-05,6.963752225560772e-05,7.375006010682204e-05,6.911595466378144e-05,6.897376344550461e-05,6.103846656141119e-05,7.054693095494592e-05,9.787077591175417e-05,0.00011194186151416002,7.47853973262442e-05,8.41894236552708e-05,7.097055216325984e-05,6.758976387473329e-05,4.7173118644277966e-05,7.1759527998606e-05,0.00011194186151416002,0.0007808996856810438
2021-01-06,8.274138293652586e-05,7.611038996396202e-05,5.968202299457264e-05,5.876663019653893e-05,8.320161072593828e-05,7.706534741535607e-05,6.0150491587189167e-05,7.030919263907346e-05,7.611038996396202e-05,8.61994870316758e-05,5.823050477388747e-05,5.752046052424082e-05,7.19876407870998e-05,8.402854494039924e-05,6.431943828598786e-05,8.409818545265534e-05,5.968202299457264e-05,5.823050477388747e-05,5.994298581291627e-05,5.963243035008588e-05,5.970603645517162e-05,5.879998511762248e-05,5.972481792180901e-05,6.101081330082693e-05,5.876663019653893e-05,5.752046052424082e-05,5.963243035008588e-05,5.977313941680219e-05,5.880135270976253e-05,5.775119465189015e-05,5.955722180434666e-05,5.698101838132345e-05,8.320161072593828e-05,7.19876407870998e-05,5.970603645517162e-05,5.880135270976253e-05,0.00010437740881624897,7.920236477793822e-05,5.121012354190869e-05,3.9584505556812924e-05,7.706534741535607e-05,8.402854494039924e-05,5.879998511762248e-05,5.775119465189015e-05,7.920236477793822e-05,9.218276920091621e-05,6.1020967263127275e-05,7.851921419549851e-05,6.0150491587189167e-05,6.431943828598786e-05,5.972481792180901e-05,5.955722180434666e-05,5.121012354190869e-05,6.1020967263127275e-05,8.866985648748922e-05,0.00010429644636950842,7.030919263907346e-05,8.409818545265534e-05,6.101081330082693e-05,5.698101838132345e-05,3.9584505556812924e-05,7.851921419549851e-05,0.00010429644636950842,0.0008214052151562476
2021-01-07,7.288513899401545e-05,6.654648442411918e-05,4.9479783511297764e-05,4.8895920050588164e-05,7.29355391648945e-05,6.686033668780166e-05,4.8560918767137913e-05,6.60960060623696e-05,6.654648442411918e-05,7.661482257371781e-05,4.7717466618755574e-05,4.770551378831519e-05,6.14363542632101e-05,7.298463041804365e-05,5.17705039379336e-05,8.335795927012892e-05,4.9479783511297764e-05,4.7717466618755574e-05,5.037010871121926e-05,4.980299925101467e-05,4.990080526549129e-05,4.893052097937152e-05,5.0894233237825305e-05,4.5930714038040306e-05,4.8895920050588164e-05,4.770551378831519e-05,4.980299925101467e-05,4.986933151760152e-05,4.9011604416488385e-05,4.8071334299584584e-05,4.9939229101388506e-05,4.6420914003713785e-05,7.29355391648945e-05,6.14363542632101e-05,4.990080526549129e-05,4.9011604416488385e-05,9.411321736788554e-05,6.876668711456277e-05,4.124433166618038e-05,2.8901902114765694e-05,6.686033668780166e-05,7.298463041804365e-05,4.893052097937152e-05,4.8071334299584584e-05,6.876668711456277e-05,8.106403916119335e-05,5.0801047328447385e-05,6.711621367302749e-05,4.8560918767137913e-05,5.17705039379336e-05,5.0894233237825305e-05,4.9939229101388506e-05,4.124433166618038e-05,5.0801047328447385e-05,8.181871086597769e-05,7.717452507932543e-05,6.60960060623696e-05,8.335795927012892e-05,4.5930714038040306e-05,4.6420914003713785e-05,2.8901902114765694e-05,6.711621367302749e-05,7.717452507932543e-05,0.0008938648371360929
2021-01-08,6.707804112652247e-05,5.8925115862771284e-05,4.1602216400322594e-05,4.110423849836747e-05,6.521097680497386e-05,5.724870854592883e-05,4.049946904290441e-05,7.065026826916058e-05,5.8925115862771284e-05,6.875256062511469e-05,4.002036323555813e-05,3.99824240009085e-05,5.430060150192398e-05,6.515696264122053e-05,4.402581889124673e-05,7.643281627590536e-05,4.1602216400322594e-05,4.002036323555813e-05,4.259018462222381e-05,4.2027317996805655e-05,4.200796587065393e-05,4.1319480128100074e-05,4.321617836822686e-05,3.708057492532105e-05,4.110423849836747e-05,3.99824240009085e-05,4.2027317996805655e-05,4.2095714241001266e-05,4.115545100560142e-05,4.036144474992184e-05,4.221216538049796e-05,3.815084376113048e-05,6.521097680497386e-05,5.430060150192398e-05,4.200796587065393e-05,4.115545100560142e-05,8.545036688391992e-05,6.122570161870314e-05,3.468571507987835e-05,1.9539377142648834e-05,5.724870854592883e-05,6.515696264122053e-05,4.1319480128100074e-05,4.036144474992184e-05,6.122570161870314e-05,7.506898274116712e-05,4.387226596883446e-05,4.9690097152539025e-05,4.049946904290441e-05,4.402581889124673e-05,4.321617836822686e-05,4.221216538049796e-05,3.468571507987835e-05,4.387226596883446e-05,7.344129762359461e-05,6.85004606869022e-05,7.065026826916058e-05,7.643281627590536e-05,3.708057492532105e-05,3.815084376113048e-05,1.9539377142648834e-05,4.9690097152539025e-05,6.85004606869022e-05,0.0009104621528240743
2021-01-11,5.9486339569085794e-05,5.173605199259762e-05,3.371345578583469e-05,3.326741752402739e-05,5.7702851759845995e-05,4.986933130391958e-05,3.0591161632824494e-05,6.407621134576504e-05,5.173605199259762e-05,6.105104229170904e-05,3.215977974667168e-05,3.230887785020352e-05,4.820553439561628e-05,5.692731605694919e-05,3.248989589987715e-05,7.18835223258145e-05,3.371345578583469e-05,3.215977974667168e-05,3.479799728217264e-05,3.4210985293279365e-05,3.39291436018258e-05,3.350268870441457e-05,3.589481042097277e-05,2.8956922825324263e-05,3.326741752402739e-05,3.230887785020352e-05,3.4210985293279365e-05,3.4255176041328816e-05,3.316854753028602e-05,3.2740818031868896e-05,3.438822394969337e-05,3.0262381974863014e-05,5.7702851759845995e-05,4.820553439561628e-05,3.39291436018258e-05,3.316854753028602e-05,7.734417944969181e-05,5.4771734675819896e-05,2.3588833071126207e-05,1.4204570463225094e-05,4.986933130391958e-05,5.692731605694919e-05,3.350268870441457e-05,3.2740818031868896e-05,5.4771734675819896e-05,6.620625775434347e-05,3.378078730882724e-05,4.6250390312839645e-05,3.0591161632824494e-05,3.248989589987715e-05,3.589481042097277e-05,3.438822394969337e-05,2.3588833071126207e-05,3.378078730882724e-05,7.901574304001617e-05,4.704485143422365e-05,6.407621134576504e-05,7.18835223258145e-05,2.8956922825324263e-05,3.0262381974863014e-05,1.4204570463225094e-05,4.6250390312839645e-05,4.704485143422365e-05,0.0008909959913672166
2021-01-12,5.209336586334999e-05,4.5350100783648663e-05,2.6337536314209394e-05,2.5866314036924313e-05,5.1062093327440414e-05,4.371762416125006e-05,2.297603822161545e-05,6.498277458768315e-05,4.5350100783648663e-05,5.5737671396622704e-05,2.4960764251543694e-05,2.506905702795151e-05,4.345925900000144e-05,5.212964766676325e-05,2.52985620732079e-05,8.295891803026249e-05,2.6337536314209394e-05,2.4960764251543694e-05,2.7346378929620218e-05,2.6770653059241412e-05,2.6615453042377564e-05,2.6283660259925302e-05,2.836572737015891e-05,2.4308791220663893e-05,2.5866314036924313e-05,2.506905702795151e-05,2.6770653059241412e-05,2.6814420739820125e-05,2.5915907044179646e-05,2.554845520054972e-05,2.6891450639008582e-05,2.551870282163285e-05,5.1062093327440414e-05,4.345925900000144e-05,2.6615453042377564e-05,2.5915907044179646e-05,7.12632892286162e-05,4.9901914430286844e-05,1.713435880100488e-05,2.888596068880401e-05,4.371762416125006e-05,5.212964766676325e-05,2.6283660259925302e-05,2.554845520054972e-05,4.9901914430286844e-05,6.16315734885564e-05,2.683766169572547e-05,6.260862767812156e-05,2.297603822161545e-05,2.52985620732079e-05,2.836572737015891e-05,2.6891450639008582e-05,1.713435880100488e-05,2.683766169572547e-05,6.939636276688731e-05,4.354706439610554e-05,6.498277458768315e-05,8.295891803026249e-05,2.4308791220663893e-05,2.551870282163285e-05,2.888596068880401e-05,6.260862767812156e-05,4.354706439610554e-05,0.0010724607678263694
2021-01-13,4.8453534483334915e-05,4.2736610119768874e-05,2.397744519047833e-05,2.3662050127461787e-05,4.7823333776398514e-05,4.115979528510212e-05,2.151140843230557e-05,5.22065692480549e-05,4.2736610119768874e-05,5.347787340012042e-05,2.2724404634721008e-05,2.2726498261244034e-05,4.111678469524781e-05,4.989990116237493e-05,2.376943917489257e-05,6.912587447659635e-05,2.397744519047833e-05,2.2724404634721008e-05,2.504582742891276e-05,2.44863188253071e-05,2.425716728275992e-05,2.395408222372965e-05,2.6119293982199602e-05,2.1625250066852297e-05,2.3662050127461787e-05,2.2726498261244034e-05,2.44863188253071e-05,2.4559723903373036e-05,2.364529751032153e-05,2.3214441851919018e-05,2.4499308401641532e-05,2.472337527993812e-05,4.7823333776398514e-05,4.111678469524781e-05,2.425716728275992e-05,2.364529751032153e-05,6.7647461741678e-05,4.736793296790142e-05,1.5805194417323595e-05,1.9085953487062747e-05,4.115979528510212e-05,4.989990116237493e-05,2.395408222372965e-05,2.3214441851919018e-05,4.736793296790142e-05,5.916392131218984e-05,2.5126820543133405e-05,5.379543879674541e-05,2.151140843230557e-05,2.376943917489257e-05,2.6119293982199602e-05,2.4499308401641532e-05,1.5805194417323595e-05,2.5126820543133405e-05,6.634534781556657e-05,4.098882267985612e-05,5.22065692480549e-05,6.912587447659635e-05,2.1625250066852297e-05,2.472337527993812e-05,1.9085953487062747e-05,5.379543879674541e-05,4.098882267985612e-05,0.0009535727551957063
2021-01-14,4.623571696368953e-05,4.064468436516064e-05,2.198637348231027e-05,2.167150158592892e-05,4.549007684845197e-05,3.9198600433873526e-05,1.943134902376916e-05,5.148043620715365e-05,4.064468436516064e-05,5.084208589173711e-05,2.06243998115708e-05,2.0599753013842965e-05,3.892627576676771e-05,4.733081762747808e-05,2.128085064946466e-05,6.2689756477789e-05,2.198637348231027e-05,2.06243998115708e-05,2.30336344783865e-05,2.2482146557264452e-05,2.250749578392629e-05,2.1848628905470136e-05,2.3871528763158095e-05,2.2877289052858412e-05,2.167150158592892e-05,2.0599753013842965e-05,2.2482146557264452e-05,2.2542769848604602e-05,2.1995931289522572e-05,2.108685424242779e-05,2.2354062286986952e-05,2.5583923523827845e-05,4.549007684845197e-05,3.892627576676771e-05,2.250749578392629e-05,2.1995931289522572e-05,6.529778851203871e-05,4.535994637032154e-05,1.3145975633907156e-05,2.9004461334314014e-05,3.9198600433873526e-05,4.733081762747808e-05,2.1848628905470136e-05,2.108685424242779e-05,4.535994637032154e-05,5.638376285094644e-05,2.2650973856551504e-05,5.082903870395878e-05,1.943134902376916e-05,2.128085064946466e-05,2.3871528763158095e-05,2.2354062286986952e-05,1.3145975633907156e-05,2.2650973856551504e-05,6.245547549270383e-05,3.5100462524361746e-05,5.148043620715365e-05,6.2689756477789e-05,2.2877289052858412e-05,2.5583923523827845e-05,2.9004461334314014e-05,5.082903870395878e-05,3.5100462524361746e-05,0.0010181485174737066
2021-01-15,4.530115578299565e-05,3.9603035803197016e-05,2.1159869122978676e-05,2.0826175622662704e-05,4.412201261779224e-05,3.804386805272653e-05,1.871618875284301e-05,4.8893082158782525e-05,3.9603035803197016e-05,5.042307773837899e-05,1.9608442076842858e-05,1.9619017030938884e-05,3.8384238348061845e-05,4.707738942569117e-05,2.04495531204784e-05,6.372084334664381e-05,2.1159869122978676e-05,1.9608442076842858e-05,2.215974696634876e-05,2.1598256529317745e-05,2.150130570094503e-05,2.0765280275558078e-05,2.2930837603310332e-05,2.1054774217601964e-05,2.0826175622662704e-05,1.9619017030938884e-05,2.1598256529317745e-05,2.164774024657228e-05,2.105066870227198e-05,2.0072621935249893e-05,2.144391118199076e-05,2.3918495837505654e-05,4.412201261779224e-05,3.8384238348061845e-05,2.150130570094503e-05,2.105066870227198e-05,6.382677240991577e-05,4.4707090470182755e-05,1.243546875274224e-05,2.976796930851285e-05,3.804386805272653e-05,4.707738942569117e-05,2.0765280275558078e-05,2.0072621935249893e-05,4.4707090470182755e-05,5.6174407381915915e-05,2.178418415966385e-05,5.2281857123180946e-05,1.871618875284301e-05,2.04495531204784e-05,2.2930837603310332e-05,2.144391118199076e-05,1.243546875274224e-05,2.178418415966385e-05,6.088482161060183e-05,3.302474911554945e-05,4.8893082158782525e-05,6.372084334664381e-05,2.1054774217601964e-05,2.3918495837505654e-05,2.976796930851285e-05,5.2281857123180946e-05,3.302474911554945e-05,0.0010118189156052605
