Date,const,lag5,lag21,lag63,coef_sum,train_start,train_end,n_rows,n_obs_stacked
2021-01-04,0.00015639196067087263,0.08635360388417715,0.0338438968084466,0.17524133518979274,0.2954388358824165,2019-12-04,2020-12-02,252,16128
2021-01-05,0.00015644854482294165,0.08671913471296694,0.0338588456466148,0.17513384741012306,0.2957118277697048,2019-12-05,2020-12-03,252,16128
2021-01-06,0.00015652650778084982,0.0871036913432165,0.0339535848681494,0.17488316740931278,0.2959404436206787,2019-12-06,2020-12-04,252,16128
2021-01-07,0.00015661787672405973,0.0873845561909221,0.03424533719422906,0.17458138800620573,0.2962112813913569,2019-12-09,2020-12-07,252,16128
2021-01-08,0.00015672195537373086,0.08724037681350698,0.03488595030891704,0.17441948368478943,0.29654581080721343,2019-12-10,2020-12-08,252,16128
2021-01-11,0.00015681276006007308,0.08711141046680634,0.035537736582451115,0.17423335336912255,0.29688250041838,2019-12-11,2020-12-09,252,16128
2021-01-12,0.00015697297822127762,0.08691781486755956,0.0363856886112892,0.17407269243219706,0.2973761959110458,2019-12-12,2020-12-10,252,16128
2021-01-13,0.00015713066328383162,0.08672170702962474,0.0372580553701585,0.17391613195952618,0.2978958943593094,2019-12-13,2020-12-11,252,16128
2021-01-14,0.00015730756769488668,0.08645590147932905,0.03828390752530359,0.17368443429924507,0.29842424330387773,2019-12-16,2020-12-14,252,16128
2021-01-15,0.00015747498833627296,0.0863279808319379,0.039201757031301264,0.17345637519550777,0.29898611305874695,2019-12-17,2020-12-15,252,16128
2021-01-19,0.00015763253902363519,0.0860651149891526,0.04026748996318472,0.17328283416479556,0.2996154391171329,2019-12-18,2020-12-16,252,16128
2021-01-20,0.00015775314936710243,0.08609869642542786,0.04110362188948353,0.17306713234799243,0.3002694506629038,2019-12-19,2020-12-17,252,16128
2021-01-21,0.00015784725541564281,0.08625277770858877,0.04172545669823085,0.1730657754011829,0.3010440098080025,2019-12-20,2020-12-18,252,16128
2021-01-22,0.0001579604267114195,0.08646474283718844,0.04251586472004065,0.17309189259348323,0.3020725001507123,2019-12-23,2020-12-21,252,16128
2021-01-25,0.0001580623582339308,0.08648151799134804,0.043567877312898275,0.17310553596865977,0.30315493127290605,2019-12-24,2020-12-22,252,16128
2021-01-26,0.00015816508198071116,0.08660137023925424,0.04445938824366172,0.1731779948124319,0.3042387532953479,2019-12-26,2020-12-23,252,16128
