Date,const,lag5,lag21,lag63,coef_sum,train_start,train_end,n_rows,n_obs_stacked
2021-02-04,4.035707573452021e-05,0.08452279770948107,0.10881801162836771,0.421036581831456,0.6143773911693048,2017-07-28,2021-01-05,866,55424
2021-02-05,4.0392041462157576e-05,0.08465001852193002,0.10889532273420999,0.42090243513511766,0.6144477763912577,2017-07-31,2021-01-06,866,55424
2021-02-08,4.0428595515871316e-05,0.0849163073846725,0.10883713867741707,0.42075189620600834,0.6145053422680979,2017-08-01,2021-01-07,866,55424
2021-02-09,4.047152139306071e-05,0.0853339886800453,0.1088764296776446,0.4206489666598123,0.6148593850175021,2017-08-02,2021-01-08,866,55424
2021-02-10,4.0512005491059357e-05,0.08582249870879677,0.10880214219155923,0.4206135937088456,0.6152382346092016,2017-08-03,2021-01-11,866,55424
2021-02-11,4.0513410799608404e-05,0.08634872047179201,0.10874224906595872,0.4203746158511482,0.615465585388899,2017-08-04,2021-01-12,866,55424
2021-02-12,4.051873024824905e-05,0.08687433747359101,0.10873257784675708,0.4200984760087428,0.6157053913290909,2017-08-07,2021-01-13,866,55424
2021-02-16,4.05206340500861e-05,0.08742176024485418,0.10855328101523275,0.41973416251281004,0.615709203772897,2017-08-08,2021-01-14,866,55424
2021-02-17,4.050901859483762e-05,0.08763215808439209,0.10880229435523196,0.41965183306568443,0.6160862855053084,2017-08-09,2021-01-15,866,55424
2021-02-18,4.0488713719804065e-05,0.08787586049291399,0.10902385574292484,0.41953548959932485,0.6164352058351636,2017-08-10,2021-01-19,866,55424
2021-02-19,4.0478441130813316e-05,0.08776345904346049,0.10948457357943253,0.41951814254099407,0.6167661751638871,2017-08-11,2021-01-20,866,55424
2021-02-22,4.046505472000705e-05,0.08762403711629677,0.10997226209430833,0.4195728606345358,0.6171691598451409,2017-08-14,2021-01-21,866,55424
2021-02-23,4.04458565551066e-05,0.08761024293601813,0.11026197935957374,0.4195283857932187,0.6174006080888106,2017-08-15,2021-01-22,866,55424
2021-02-24,4.041586383751274e-05,0.08771920676873021,0.11110441164741816,0.4193479158270652,0.6181715342432136,2017-08-16,2021-01-25,866,55424
2021-02-25,4.0425321846153644e-05,0.08765931167460113,0.11133061559928041,0.41933188218437195,0.6183218094582534,2017-08-17,2021-01-26,866,55424
2021-02-26,4.0470960722624444e-05,0.08751667720259812,0.11132825060762236,0.41938940240931877,0.6182343302195392,2017-08-18,2021-01-27,866,55424
2021-03-01,4.0513699021286475e-05,0.08738720286355685,0.11098495555511761,0.4195102242305819,0.6178823826492563,2017-08-21,2021-01-28,866,55424
2021-03-02,4.0563173983296124e-05,0.08694107012067054,0.11156749929319015,0.41893764353512786,0.6174462129489886,2017-08-22,2021-01-29,866,55424
2021-03-03,4.0607864976953466e-05,0.08717076244425798,0.11144876451513924,0.4183442879593947,0.6169638149187919,2017-08-23,2021-02-01,866,55424
2021-03-04,4.064684181689225e-05,0.08744539592139997,0.111228470362079,0.4177744632538467,0.6164483295373256,2017-08-24,2021-02-02,866,55424
2021-03-05,4.0686535243637616e-05,0.08780779577937041,0.11097707275552213,0.41710375350816964,0.6158886220430622,2017-08-25,2021-02-03,866,55424
2021-03-08,4.0732799900340005e-05,0.08814411976679672,0.11058011581043578,0.4165395459406731,0.6152637815179056,2017-08-28,2021-02-04,866,55424
2021-03-09,4.0777167852354004e-05,0.08835185735271191,0.11040917663117633,0.41597777820097476,0.6147388121848629,2017-08-29,2021-02-05,866,55424
2021-03-10,4.0833071739837805e-05,0.08865838875615113,0.11011957590864885,0.4153741471498038,0.6141521118146038,2017-08-30,2021-02-08,866,55424
2021-03-11,4.091261705982467e-05,0.0890382185147062,0.109171691349375,0.4145412380348482,0.6127511478989294,2017-08-31,2021-02-09,866,55424
2021-03-12,4.0991209629450044e-05,0.08943228585996782,0.10831525471512188,0.4136490213511666,0.6113965619262562,2017-09-01,2021-02-10,866,55424
2021-03-15,4.107948307763375e-05,0.0898876873665187,0.10745142917566627,0.41269030304292287,0.6100294195851078,2017-09-05,2021-02-11,866,55424
2021-03-16,4.1170287057756424e-05,0.09022367756101601,0.1066019058265365,0.41177097460267076,0.6085965579902233,2017-09-06,2021-02-12,866,55424
2021-03-17,4.126044684354972e-05,0.09017079952092022,0.10608721512535127,0.4111167132071047,0.6073747278533762,2017-09-07,2021-02-16,866,55424
2021-03-18,4.134716985145801e-05,0.09009433951914123,0.10616843030717278,0.41011694666055376,0.6063797164868678,2017-09-08,2021-02-17,866,55424
2021-03-19,4.1449091811141374e-05,0.09003442550518359,0.10620966459405398,0.4090583498236585,0.6053024399228961,2017-09-11,2021-02-18,866,55424
2021-03-22,4.15480757827324e-05,0.08983964605937987,0.10629657620713996,0.4081037276578525,0.6042399499243724,2017-09-12,2021-02-19,866,55424
2021-03-23,4.164480758241394e-05,0.08969776397413448,0.10627064076720738,0.40716148599859414,0.6031298907399361,2017-09-13,2021-02-22,866,55424
2021-03-24,4.174330990369272e-05,0.0898620897443887,0.10612488885273999,0.40599112894830836,0.601978107545437,2017-09-14,2021-02-23,866,55424
2021-03-25,4.186880157201125e-05,0.08974069153560058,0.10690739266930245,0.4037220927728591,0.6003701769777621,2017-09-15,2021-02-24,866,55424
2021-03-26,4.195078452317028e-05,0.08946804256809357,0.10713245522887961,0.40304821461917023,0.5996487124161434,2017-09-18,2021-02-25,866,55424
2021-03-29,4.1983487230692527e-05,0.08968434481843014,0.1069337080783474,0.4028418367029885,0.599459889599766,2017-09-19,2021-02-26,866,55424
2021-03-30,4.197311951113952e-05,0.09045215269932336,0.10640459262690471,0.40292115027796505,0.5997778956041931,2017-09-20,2021-03-01,866,55424
2021-03-31,4.1951879804436694e-05,0.09123520570378506,0.10590898660040456,0.40287409771328886,0.6000182900174784,2017-09-21,2021-03-02,866,55424
2021-04-01,4.1924429609569125e-05,0.09201829341852769,0.10536446810011177,0.40293290933735826,0.6003156708559977,2017-09-22,2021-03-03,866,55424
2021-04-05,4.192352827831483e-05,0.09220210167921444,0.10530889058743395,0.40287822880861973,0.6003892210752682,2017-09-25,2021-03-04,866,55424
2021-04-06,4.1934515387936906e-05,0.09224346639184842,0.10533415646802799,0.40270344206416514,0.6002810649240415,2017-09-26,2021-03-05,866,55424
2021-04-07,4.194821248219017e-05,0.09224981091440736,0.10541839312350265,0.4024809218659655,0.6001491259038756,2017-09-27,2021-03-08,866,55424
2021-04-08,4.1975195742195636e-05,0.09229610868682496,0.10542291621198245,0.40219202602779525,0.5999110509266027,2017-09-28,2021-03-09,866,55424
2021-04-09,4.197826174808253e-05,0.09230667043376917,0.10555914477378066,0.4019521831415663,0.5998179983491161,2017-09-29,2021-03-10,866,55424
2021-04-12,4.197745459159635e-05,0.09221103997111918,0.10602512720956232,0.40149958376473477,0.5997357509454162,2017-10-02,2021-03-11,866,55424
2021-04-13,4.1976104443839095e-05,0.09214906951951671,0.10641044931376072,0.40103125898430836,0.5995907778175857,2017-10-03,2021-03-12,866,55424
2021-04-14,4.197269342520471e-05,0.09207002510153468,0.10679078686667913,0.4006442652108261,0.5995050771790399,2017-10-04,2021-03-15,866,55424
2021-04-15,4.196961970953812e-05,0.09202595812251331,0.10712379830885299,0.40026273094710985,0.5994124873784761,2017-10-05,2021-03-16,866,55424
2021-04-16,4.1977299724183896e-05,0.0920340508644996,0.10732332075963705,0.3998772347718893,0.5992346063960259,2017-10-06,2021-03-17,866,55424
2021-04-19,4.198284381418101e-05,0.0920399870961812,0.10752188912060551,0.39949169500589093,0.5990535712226777,2017-10-09,2021-03-18,866,55424
2021-04-20,4.1977269556982646e-05,0.09202747980851156,0.10762802454985924,0.399363858510241,0.5990193628686118,2017-10-10,2021-03-19,866,55424
2021-04-21,4.1962165561751736e-05,0.0919470404538194,0.10784731038217003,0.3994113588537198,0.5992057096897092,2017-10-11,2021-03-22,866,55424
2021-04-22,4.1952200229133554e-05,0.09187188492203299,0.10809325230152925,0.39932630992746393,0.5992914471510262,2017-10-12,2021-03-23,866,55424
2021-04-23,4.194423806970716e-05,0.09180751704119876,0.10829729692107232,0.39926428225637756,0.5993690962186486,2017-10-13,2021-03-24,866,55424
2021-04-26,4.1915620095669285e-05,0.09175291591776968,0.10869265997095123,0.39935684238472824,0.5998024182734492,2017-10-16,2021-03-25,866,55424
2021-04-27,4.189607907596146e-05,0.09182668793218057,0.1085646956099385,0.39983443710028754,0.6002258206424066,2017-10-17,2021-03-26,866,55424
2021-04-28,4.1871212800748695e-05,0.09183644732267542,0.10849183023532313,0.4001072660807742,0.6004355436387727,2017-10-18,2021-03-29,866,55424
2021-04-29,4.186696809359234e-05,0.09185575290195896,0.1085080579276796,0.4000471162223981,0.6004109270520366,2017-10-19,2021-03-30,866,55424
2021-04-30,4.187036577670149e-05,0.09183374456972274,0.10869125635485946,0.3996899165456629,0.6002149174702451,2017-10-20,2021-03-31,866,55424
2021-05-03,4.18708482068474e-05,0.09185764654737959,0.10880565903345024,0.3993536840362842,0.600016989617114,2017-10-23,2021-04-01,866,55424
2021-05-04,4.186250059899863e-05,0.09187347978392221,0.1089304191788073,0.39901688280412484,0.5998207817668544,2017-10-24,2021-04-05,866,55424
2021-05-05,4.185969360736556e-05,0.09189624207935682,0.10895336814714851,0.3988657339254289,0.5997153441519343,2017-10-25,2021-04-06,866,55424
2021-05-06,4.184793887964674e-05,0.09187719434093207,0.10885809659885917,0.39907758130500637,0.5998128722447976,2017-10-26,2021-04-07,866,55424
2021-05-07,4.1833974037114126e-05,0.09186740099861285,0.10873174872026742,0.3993367056296788,0.5999358553485591,2017-10-27,2021-04-08,866,55424
2021-05-10,4.184784854058726e-05,0.09183907075960282,0.10901437576063291,0.39868367387244,0.5995371203926758,2017-10-30,2021-04-09,866,55424
2021-05-11,4.18637007289116e-05,0.09184496159210633,0.10925548299915527,0.3980381750807984,0.5991386196720601,2017-10-31,2021-04-12,866,55424
2021-05-12,4.187865835819815e-05,0.09182388936092027,0.10944737359466299,0.3975350103031906,0.5988062732587739,2017-11-01,2021-04-13,866,55424
2021-05-13,4.191465125412804e-05,0.09185617737182301,0.1094090214256357,0.3974248687623725,0.5986900675598312,2017-11-02,2021-04-14,866,55424
2021-05-14,4.1954628430253336e-05,0.09187291135926037,0.10939135423923492,0.3972729601183428,0.5985372257168381,2017-11-03,2021-04-15,866,55424
2021-05-17,4.200059120582989e-05,0.09185791086456177,0.10940990784965413,0.3970991428578201,0.598366961572036,2017-11-06,2021-04-16,866,55424
2021-05-18,4.203826515689885e-05,0.0918609108851508,0.10918977726091722,0.3973382371394398,0.5983889252855078,2017-11-07,2021-04-19,866,55424
2021-05-19,4.209950332920373e-05,0.09203513962177352,0.10929979570767713,0.3964170488184898,0.5977519841479405,2017-11-08,2021-04-20,866,55424
2021-05-20,4.22003916560447e-05,0.09229776796696416,0.10985711280696267,0.3944263695212071,0.596581250295134,2017-11-09,2021-04-21,866,55424
2021-05-21,4.2326042183761964e-05,0.09268349689319892,0.1101658671054507,0.3925712265031379,0.5954205905017875,2017-11-10,2021-04-22,866,55424
2021-05-24,4.245457584620054e-05,0.09316207800543697,0.11036493795747623,0.3907846888513725,0.5943117048142857,2017-11-13,2021-04-23,866,55424
2021-05-25,4.256985722336708e-05,0.09324077961117151,0.11097524629796618,0.389206775606282,0.5934228015154197,2017-11-14,2021-04-26,866,55424
2021-05-26,4.268717074128663e-05,0.09308839962254574,0.11193667030613816,0.3874538273298053,0.5924788972584892,2017-11-15,2021-04-27,866,55424
2021-05-27,4.28044969813446e-05,0.09298161161224264,0.11273138121826143,0.3858404130413642,0.5915534058718682,2017-11-16,2021-04-28,866,55424
2021-05-28,4.29229968302833e-05,0.09255463385141934,0.11350102286263941,0.3846031850565389,0.5906588417705976,2017-11-17,2021-04-29,866,55424
2021-06-01,4.304985389921966e-05,0.09197859705829076,0.11429019107724335,0.38349257118427543,0.5897613593198096,2017-11-20,2021-04-30,866,55424
2021-06-02,4.317603780376382e-05,0.09178581609983791,0.11486590345211176,0.38209454063442805,0.5887462601863778,2017-11-21,2021-05-03,866,55424
2021-06-03,4.330523572448962e-05,0.0913106795963067,0.11570486503268373,0.3807039658275189,0.5877195104565094,2017-11-22,2021-05-04,866,55424
2021-06-04,4.342385002736346e-05,0.0909360413534439,0.11659258134008868,0.37909243903118967,0.5866210617247223,2017-11-24,2021-05-05,866,55424
2021-06-07,4.3552480682899415e-05,0.09108894530585632,0.11738149916656665,0.3767512063008326,0.5852216507732555,2017-11-27,2021-05-06,866,55424
2021-06-08,4.368384255946798e-05,0.09163237920117845,0.11801981550359245,0.37392010560555716,0.583572300310328,2017-11-28,2021-05-07,866,55424
2021-06-09,4.3812019236702475e-05,0.09073019205730141,0.1189313874182713,0.3726148175528712,0.5822763970284439,2017-11-29,2021-05-10,866,55424
2021-06-10,4.3971179883441255e-05,0.08997611367004768,0.12001834542115344,0.3707979109104612,0.5807923700016624,2017-11-30,2021-05-11,866,55424
2021-06-11,4.413540648689594e-05,0.08898547269689215,0.12145441588686687,0.36886145833877754,0.5793013469225365,2017-12-01,2021-05-12,866,55424
2021-06-14,4.423366448687245e-05,0.08825352254074159,0.12287940095364941,0.36657712043599744,0.5777100439303884,2017-12-04,2021-05-13,866,55424
2021-06-15,4.4329719883709876e-05,0.08736803752586242,0.12443032095999079,0.3644316564036802,0.5762300148895334,2017-12-05,2021-05-14,866,55424
2021-06-16,4.440882839377457e-05,0.08790168982855406,0.12441254108153293,0.36247894220896604,0.574793173119053,2017-12-06,2021-05-17,866,55424
2021-06-17,4.449637270720711e-05,0.08864093646797254,0.12419491244348647,0.36017223618473554,0.5730080850961945,2017-12-07,2021-05-18,866,55424
2021-06-18,4.459598641236227e-05,0.08818882938809484,0.12429813964959774,0.3589415772460578,0.5714285462837504,2017-12-08,2021-05-19,866,55424
2021-06-21,4.462317579048833e-05,0.08774240510275919,0.12452570380396397,0.3587998282292503,0.5710679371359735,2017-12-11,2021-05-20,866,55424
2021-06-22,4.4600567407833636e-05,0.08754040020850595,0.12464650728740123,0.3586961501699884,0.5708830576658956,2017-12-12,2021-05-21,866,55424
2021-06-23,4.4609130028872075e-05,0.08690290387103362,0.12482156348302906,0.3584939782279675,0.5702184455820303,2017-12-13,2021-05-24,866,55424
2021-06-24,4.460933648561752e-05,0.08616419582719706,0.12522649833545746,0.35819110638378876,0.5695818005464433,2017-12-14,2021-05-25,866,55424
2021-06-25,4.4662107133167206e-05,0.08529636141852373,0.12447305027064226,0.35825822407213137,0.5680276357612973,2017-12-15,2021-05-26,866,55424
2021-06-28,4.470557683493683e-05,0.08640610720471784,0.12131648905125142,0.3588192269807048,0.566541823236674,2017-12-18,2021-05-27,866,55424
2021-06-29,4.4748683807964096e-05,0.08734929763595059,0.11859563322276288,0.3592978648667311,0.5652427957254446,2017-12-19,2021-05-28,866,55424
2021-06-30,4.480302572838987e-05,0.0879316790502202,0.11645359848952587,0.3596018497450807,0.5639871272848267,2017-12-20,2021-06-01,866,55424
2021-07-01,4.4868036365419104e-05,0.08835369934236349,0.11441276011619003,0.3599927942906227,0.5627592537491762,2017-12-21,2021-06-02,866,55424
2021-07-02,4.492688498703943e-05,0.08871629721133789,0.11254272992170052,0.36036503776075723,0.5616240648937956,2017-12-22,2021-06-03,866,55424
2021-07-06,4.4989702787407004e-05,0.0890396272206942,0.11066186581742903,0.3607829872484474,0.5604844802865706,2017-12-26,2021-06-04,866,55424
2021-07-07,4.503310467584106e-05,0.08903548593952121,0.10938751640760076,0.3612841738605217,0.5597071762076437,2017-12-27,2021-06-07,866,55424
2021-07-08,4.505085210918895e-05,0.08889592103391092,0.10905007324853688,0.3614987644649603,0.5594447587474081,2017-12-28,2021-06-08,866,55424
2021-07-09,4.507617399341366e-05,0.08868335841779698,0.10889507315476335,0.36150758507312253,0.5590860166456828,2017-12-29,2021-06-09,866,55424
2021-07-12,4.510920314871819e-05,0.08853566221654355,0.10825263488623565,0.36163071691491705,0.5584190140176962,2018-01-02,2021-06-10,866,55424
2021-07-13,4.514205002380725e-05,0.08841398276171653,0.10756728720373095,0.36175528138515944,0.557736551350607,2018-01-03,2021-06-11,866,55424
2021-07-14,4.519934514534622e-05,0.08863985577680696,0.1060395421512564,0.36204628139112216,0.5567256793191855,2018-01-04,2021-06-14,866,55424
2021-07-15,4.5253151281305905e-05,0.08952683608392398,0.10360829618629111,0.3623398990432405,0.5554750313134555,2018-01-05,2021-06-15,866,55424
2021-07-16,4.530519669532102e-05,0.0911762165373221,0.09905639361901247,0.36283408358813657,0.5530666937444711,2018-01-08,2021-06-16,866,55424
2021-07-19,4.535331605755282e-05,0.09254988646320396,0.09453207296312302,0.3635636549468167,0.5506456143731437,2018-01-09,2021-06-17,866,55424
2021-07-20,4.5374848453414666e-05,0.09266970625918772,0.09258362360778852,0.36340351730842924,0.5486568471754054,2018-01-10,2021-06-18,866,55424
2021-07-21,4.539788422361428e-05,0.0922551814966357,0.09245059817931292,0.3617398660926066,0.5464456457685553,2018-01-11,2021-06-21,866,55424
2021-07-22,4.5450119422021805e-05,0.0917707005044325,0.09251557786713466,0.35967351208055953,0.5439597904521267,2018-01-12,2021-06-22,866,55424
2021-07-23,4.5476769470474896e-05,0.0910342010502565,0.09270009026327866,0.35806665113691055,0.5418009424504457,2018-01-16,2021-06-23,866,55424
2021-07-26,4.551083422873453e-05,0.09071974989211311,0.09227103665193616,0.35663797057175384,0.5396287571158032,2018-01-17,2021-06-24,866,55424
2021-07-27,4.547382372037979e-05,0.09035692097232562,0.09188365908022095,0.35624343620582516,0.5384840162583717,2018-01-18,2021-06-25,866,55424
2021-07-28,4.545383009767182e-05,0.08994346413183388,0.0914424724642322,0.3557044750976141,0.5370904116936802,2018-01-19,2021-06-28,866,55424
2021-07-29,4.543540078775178e-05,0.08952365305738588,0.0910481874914038,0.3550440053031832,0.5356158458519729,2018-01-22,2021-06-29,866,55424
2021-07-30,4.5460399830443875e-05,0.08924703065282265,0.09041612742618577,0.3540003174845443,0.5336634755635528,2018-01-23,2021-06-30,866,55424
2021-08-02,4.547098472661231e-05,0.08892371707227231,0.0899234044833903,0.3528976418224321,0.5317447633780947,2018-01-24,2021-07-01,866,55424
2021-08-03,4.5510336964316153e-05,0.09000119104439877,0.08792673677539797,0.35154209598096514,0.5294700238007619,2018-01-25,2021-07-02,866,55424
2021-08-04,4.5538888904316646e-05,0.09101043732771555,0.0860597524396991,0.35020457889338286,0.5272747686607975,2018-01-26,2021-07-06,866,55424
2021-08-05,4.556209664532978e-05,0.09188062188294262,0.08478498537191691,0.34845775154839315,0.5251233588032527,2018-01-29,2021-07-07,866,55424
2021-08-06,4.558796395436836e-05,0.09255263414044125,0.08436941005791401,0.3460137665955516,0.5229358107939068,2018-01-30,2021-07-08,866,55424
2021-08-09,4.561243598144472e-05,0.09337631195859519,0.08381448758480842,0.34352434146921673,0.5207151410126203,2018-01-31,2021-07-09,866,55424
2021-08-10,4.561755154137711e-05,0.0936024917470697,0.08367547214164633,0.3416111582081977,0.5188891220969137,2018-02-01,2021-07-12,866,55424
2021-08-11,4.562623983830571e-05,0.09390598607085833,0.08342882330077747,0.33971041245223704,0.5170452218238728,2018-02-02,2021-07-13,866,55424
2021-08-12,4.5616211030553836e-05,0.09385342744836925,0.08332485478467133,0.33837660506063066,0.5155548872936713,2018-02-05,2021-07-14,866,55424
2021-08-13,4.563674515899169e-05,0.09375791506698503,0.08318116555214805,0.33703053642259134,0.5139696170417244,2018-02-06,2021-07-15,866,55424
2021-08-16,4.559638371318914e-05,0.094265811436845,0.08295523347137732,0.3377240792364731,0.5149451241446954,2018-02-07,2021-07-16,866,55424
2021-08-17,4.553564025009383e-05,0.0950733482175506,0.08258456009400919,0.3386942588331713,0.5163521671447311,2018-02-08,2021-07-19,866,55424
2021-08-18,4.547645765414926e-05,0.09593085654503766,0.08202772544704046,0.33978492268601773,0.5177435046780958,2018-02-09,2021-07-20,866,55424
2021-08-19,4.539860572604143e-05,0.09668240786290584,0.0815458465615011,0.3410650975499228,0.5192933519743297,2018-02-12,2021-07-21,866,55424
2021-08-20,4.530465878727874e-05,0.09762953877311872,0.08094039415816927,0.3423873607845235,0.5209572937158115,2018-02-13,2021-07-22,866,55424
2021-08-23,4.5292716049769526e-05,0.09759930394820578,0.0808579995773486,0.34287452047853506,0.5213318240040894,2018-02-14,2021-07-23,866,55424
2021-08-24,4.5283504310539516e-05,0.09759670649043882,0.08072994746702308,0.34323076295733224,0.5215574169147941,2018-02-15,2021-07-26,866,55424
2021-08-25,4.526923100987154e-05,0.09753994539571435,0.08082552972997788,0.3436174545363244,0.5219829296620166,2018-02-16,2021-07-27,866,55424
2021-08-26,4.525527185419094e-05,0.09746989181633785,0.08100271625760963,0.3440387879380579,0.5225113960120054,2018-02-20,2021-07-28,866,55424
2021-08-27,4.524873811780109e-05,0.09740792817016469,0.08114049373012672,0.34443805696543844,0.5229864788657299,2018-02-21,2021-07-29,866,55424
2021-08-30,4.518535915608112e-05,0.09737326761081339,0.08122484906746372,0.3455414679858975,0.5241395846641747,2018-02-22,2021-07-30,866,55424
2021-08-31,4.511284144352711e-05,0.0973742779806068,0.08131649763462145,0.3467884148126756,0.5254791904279038,2018-02-23,2021-08-02,866,55424
2021-09-01,4.502990302261103e-05,0.09722580056327862,0.0816332838699574,0.34797574644135165,0.5268348308745876,2018-02-26,2021-08-03,866,55424
2021-09-02,4.4980806692906274e-05,0.0970194559060423,0.08200888683837115,0.3489571341237747,0.5279854768681882,2018-02-27,2021-08-04,866,55424
2021-09-03,4.493945203180862e-05,0.09682218407967949,0.08238665509395421,0.3498242006341459,0.5290330398077796,2018-02-28,2021-08-05,866,55424
2021-09-07,4.4910442980863005e-05,0.09652111533881141,0.08286622798322307,0.35055747423654066,0.5299448175585751,2018-03-01,2021-08-06,866,55424
2021-09-08,4.494109111798733e-05,0.09631738324440786,0.08327794356218964,0.3507534230902395,0.530348749896837,2018-03-02,2021-08-09,866,55424
2021-09-09,4.497542925686403e-05,0.0960978899524257,0.08367935114352137,0.35087999093869704,0.5306572320346441,2018-03-05,2021-08-10,866,55424
2021-09-10,4.501136625132317e-05,0.09590557030852342,0.08403899294515335,0.3509257622896187,0.5308703255432955,2018-03-06,2021-08-11,866,55424
2021-09-13,4.506846936341767e-05,0.09578130959998762,0.08429001613090177,0.35091082199361345,0.5309821477245029,2018-03-07,2021-08-12,866,55424
2021-09-14,4.510262545420966e-05,0.09561910170263054,0.08455929857263904,0.35114501704617784,0.5313234173214474,2018-03-08,2021-08-13,866,55424
2021-09-15,4.51089683323466e-05,0.09559471960872576,0.08431405934811714,0.3517859117907327,0.5316946907475756,2018-03-09,2021-08-16,866,55424
2021-09-16,4.509794107862099e-05,0.09562582760233335,0.08385961762783983,0.3527500210609929,0.5322354662911661,2018-03-12,2021-08-17,866,55424
2021-09-17,4.509982501667478e-05,0.09564982764010793,0.08354221909722538,0.35339488379910794,0.5325869305364412,2018-03-13,2021-08-18,866,55424
2021-09-20,4.512324546750355e-05,0.09564877220013107,0.08341250614375342,0.3536619306712018,0.5327232090150863,2018-03-14,2021-08-19,866,55424
2021-09-21,4.5198696436977176e-05,0.09565998859142204,0.08353841697808695,0.35324984474648097,0.53244825031599,2018-03-15,2021-08-20,866,55424
2021-09-22,4.523718605982982e-05,0.095646937651277,0.08346916655459825,0.3535011018428256,0.5326172060487009,2018-03-16,2021-08-23,866,55424
2021-09-23,4.5281348349435766e-05,0.09561902157850419,0.08344295330566752,0.3537304968556767,0.5327924717398484,2018-03-19,2021-08-24,866,55424
2021-09-24,4.53286298869169e-05,0.09561071312834026,0.08336872925850883,0.35394288517173933,0.5329223275585884,2018-03-20,2021-08-25,866,55424
2021-09-27,4.5377854982052844e-05,0.09560724489252428,0.08326800173077159,0.35419911195558385,0.5330743585788797,2018-03-21,2021-08-26,866,55424
2021-09-28,4.54224591326179e-05,0.09560790559824037,0.08315808139791822,0.35446769392604033,0.5332336809221989,2018-03-22,2021-08-27,866,55424
2021-09-29,4.548646690854459e-05,0.09562595121045865,0.083254143586427,0.3542221010576002,0.5331021958544859,2018-03-23,2021-08-30,866,55424
2021-09-30,4.556084179115304e-05,0.09565444642277118,0.08334375431423502,0.3539422485936006,0.5329404493306068,2018-03-26,2021-08-31,866,55424
2021-10-01,4.564800896468511e-05,0.0956867424955041,0.08357242401358142,0.35337115479340553,0.532630321302491,2018-03-27,2021-09-01,866,55424
2021-10-04,4.5725698045773406e-05,0.09568782606794961,0.08378877371268266,0.3529300052841689,0.5324066050648012,2018-03-28,2021-09-02,866,55424
