Date,const,lag10,lag21,lag63,coef_sum
2021-01-04,0.00011401575100889597,0.05041482386034847,0.04061540507070418,0.20915852771892163,0.30018875664997424
2021-01-05,0.00011403792789006488,0.049805162798849084,0.041040907534635546,0.20907525846441238,0.299921328797897
2021-01-06,0.00011406872895645305,0.04923261337776424,0.04128570965300127,0.20911163529237925,0.29962995832314476
2021-01-07,0.00011409896636856064,0.048637617224930915,0.04149172230109118,0.20922022115011227,0.2993495606761344
2021-01-08,0.00011413573531599683,0.048050418713034615,0.041664533884837776,0.20935846380454498,0.29907341640241736
2021-01-11,0.0001141688263271434,0.04741452116486994,0.04187802680600856,0.2094938142284896,0.29878636219936805
2021-01-12,0.00011421438919360807,0.04672816448640582,0.04201025586509319,0.20984863081300004,0.298587051164499
2021-01-13,0.00011425343405606331,0.046051228463394725,0.042138815816393324,0.21019347833339852,0.29838352261318657
2021-01-14,0.00011428270576940212,0.045309540845482985,0.042275374163892016,0.21057407692241512,0.29815899193179013
2021-01-15,0.00011430162263176184,0.045735596212971866,0.041166690191578634,0.21107707504899081,0.2979793614535413
2021-01-19,0.0001143175476233508,0.04619132295322788,0.03999967769055608,0.2116021723353142,0.29779317297909813
2021-01-20,0.00011433062910385443,0.04665312869414121,0.03882757153037722,0.21212796041381346,0.2976086606383319
2021-01-21,0.00011434641040231844,0.04713690128591181,0.037655653198709615,0.21263130229498245,0.29742385677960387
2021-01-22,0.00011437632635614277,0.04774325038514521,0.0362840668177228,0.21324965117623834,0.29727696837910633
2021-01-25,0.00011439844326292364,0.048442146001984425,0.03489638205393869,0.21382339770013237,0.2971619257560555
2021-01-26,0.00011442724492071604,0.04909000589565421,0.033521040837890315,0.21441773971686184,0.29702878645040637
2021-01-27,0.00011448211651661671,0.04987440279008067,0.03209847941883717,0.21479149073429157,0.29676437294320945
2021-01-28,0.00011454680009418043,0.05060116491839809,0.030714922932295167,0.21519590520320026,0.29651199305389353
2021-01-29,0.00011462072856907566,0.05135349013001985,0.02932723053150579,0.21559896021512157,0.2962796808766472
2021-02-01,0.00011466405433254714,0.052170362025835415,0.02787198977957655,0.21600995934493367,0.29605231115034564
2021-02-02,0.00011470624023020983,0.05234284306171379,0.027839824874666356,0.21561728669120175,0.2957999546275819
2021-02-03,0.00011476253933248359,0.05245792660246986,0.027831136516684254,0.2152445493943042,0.29553361251345833
2021-02-04,0.00011482067532167926,0.052535476115905484,0.027869437932916047,0.21483306251339898,0.2952379765622205
2021-02-05,0.0001148679108683272,0.05264671803405954,0.027900740977692594,0.21438053535090995,0.2949279943626621
2021-02-08,0.00011491074302990602,0.05248212487127533,0.02827446267402515,0.2138502342498168,0.29460682179511727
2021-02-09,0.00011492594785661534,0.052586146577997726,0.02850571205914187,0.2133209879802747,0.2944128466174143
2021-02-10,0.00011493650989681693,0.05267300704931326,0.028683756063237108,0.21290864990751188,0.29426541302006226
2021-02-11,0.0001150182756383526,0.05185087102744124,0.029175759158447546,0.21282488089698165,0.29385151108287044
2021-02-12,0.00011510566016914434,0.05097792959648479,0.029663711122388248,0.2127887442625421,0.29343038498141516
2021-02-16,0.00011518497815875723,0.050087726749338334,0.030162008115294636,0.2127391280941504,0.29298886295878335
2021-02-17,0.00011526133558858654,0.049188264436328684,0.030696292762985886,0.21266745149092153,0.2925520086902361
2021-02-18,0.00011534465868886235,0.048294937259929026,0.031179093357473042,0.21262111545919155,0.2920951460765936
2021-02-19,0.00011542033477165751,0.04732486180222404,0.03161528226305439,0.2127242149392301,0.29166435900450854
2021-02-22,0.00011549601932428461,0.046435378823450675,0.03199146354921457,0.2128406350267965,0.29126747739946174
2021-02-23,0.00011557545012127965,0.04551883930494316,0.032382124564346984,0.21294885681576492,0.29084982068505505
