number,state,avg_frobenius,avg_qlike,objective_value,window,C,gamma_mode,gamma,gamma_used,epsilon,n_forecasts,n_refits,datetime_start,datetime_complete,duration
49,COMPLETE,0.0020739940349743177,24.66942755374275,0.0020739940349743177,315,0.0019846951833107215,scale,,scale,0.05115365566131112,485,485,2026-04-15 11:53:06.167549,2026-04-15 11:54:01.533394,0 days 00:00:55.365845
8,COMPLETE,0.0020756738099645834,25.991989680499877,0.0020756738099645834,252,0.004439648242927527,numeric,0.0037306104754535906,0.0037306104754535906,0.0010821382910613986,485,485,2026-04-15 10:57:41.450030,2026-04-15 10:58:23.575565,0 days 00:00:42.125535
11,COMPLETE,0.0020808314506023332,23.587104916190405,0.0020808314506023332,315,0.21497449951483294,scale,,scale,0.016807148092918008,485,485,2026-04-15 11:00:58.001313,2026-04-15 11:01:57.824748,0 days 00:00:59.823435
3,COMPLETE,0.002082120953385081,31.592002919610607,0.002082120953385081,126,0.9355380606452183,numeric,0.0019674328025306126,0.0019674328025306126,0.004467752817973905,485,485,2026-04-15 10:40:53.239639,2026-04-15 10:41:15.008084,0 days 00:00:21.768445
24,COMPLETE,0.0020934040443275474,25.70639123769258,0.0020934040443275474,189,0.0011997072580708838,scale,,scale,0.0005556798953131388,485,485,2026-04-15 11:11:16.849820,2026-04-15 11:11:47.126076,0 days 00:00:30.276256
0,COMPLETE,0.0021033024463799023,1637.0484865010592,0.0021033024463799023,189,157.41890047456639,numeric,0.00012674255898937226,0.00012674255898937226,0.07579479953347998,485,485,2026-04-15 10:39:03.587914,2026-04-15 10:39:34.768751,0 days 00:00:31.180837
1,COMPLETE,0.002104017051131361,26.861773769921452,0.002104017051131361,126,0.055895242052179224,scale,,scale,0.00014742753159914678,485,485,2026-04-15 10:39:34.771584,2026-04-15 10:39:57.072790,0 days 00:00:22.301206
14,COMPLETE,0.0021041445056830792,24.755808880712227,0.0021041445056830792,315,0.0697566918306358,numeric,8.649050749053963,8.649050749053963,0.021178740216868334,485,485,2026-04-15 11:04:54.771794,2026-04-15 11:05:50.793308,0 days 00:00:56.021514
35,COMPLETE,0.0021118209197891046,27.04778386813786,0.0021118209197891046,126,0.01396077920093414,scale,,scale,0.005860532965133669,485,485,2026-04-15 11:37:50.349385,2026-04-15 11:38:11.442466,0 days 00:00:21.093081
20,COMPLETE,0.002116717212508389,28.172006683025444,0.002116717212508389,189,0.205621102195883,scale,,scale,1.1065136021091009e-05,485,485,2026-04-15 11:09:13.964427,2026-04-15 11:09:45.024157,0 days 00:00:31.059730
9,COMPLETE,0.0021198050354114505,27.344331855992603,0.0021198050354114505,126,0.00927529483590769,scale,,scale,0.0034167643418329683,485,485,2026-04-15 10:58:23.576656,2026-04-15 10:58:45.065141,0 days 00:00:21.488485
44,COMPLETE,0.0021200572345196275,27.357820322540448,0.0021200572345196275,126,0.009185304310943448,scale,,scale,5.187542456685261e-05,485,485,2026-04-15 11:47:10.047716,2026-04-15 11:47:44.909467,0 days 00:00:34.861751
46,COMPLETE,0.0021398092748434443,25.37106618997459,0.0021398092748434443,378,0.34741143072106295,scale,,scale,0.00022331716438937747,468,468,2026-04-15 11:48:34.531341,2026-04-15 11:50:41.606952,0 days 00:02:07.075611
27,COMPLETE,0.002189330813098288,31.972168264914494,0.002189330813098288,504,0.005747364904798645,scale,,scale,0.0026099620827768687,342,342,2026-04-15 11:13:43.828943,2026-04-15 11:15:11.112038,0 days 00:01:27.283095
15,COMPLETE,0.002192529397668882,26.158871181968244,0.002192529397668882,378,0.5112001687756572,scale,,scale,1.9911200263300456e-05,468,468,2026-04-15 11:05:50.794374,2026-04-15 11:07:12.042231,0 days 00:01:21.247857
12,COMPLETE,0.0022003431702968352,33.769921843878784,0.0022003431702968352,504,0.001243778985035768,numeric,0.19616351367177284,0.19616351367177284,0.027510814536221825,342,342,2026-04-15 11:01:57.826956,2026-04-15 11:03:23.115617,0 days 00:01:25.288661
4,COMPLETE,0.002206194962529105,53.231292976570664,0.002206194962529105,378,233.86439256208715,numeric,0.0002769889922756284,0.0002769889922756284,6.080390190296599e-05,468,468,2026-04-15 10:41:15.009184,2026-04-15 10:42:44.255397,0 days 00:01:29.246213
37,COMPLETE,0.002244328210392796,30.585239692770593,0.002244328210392796,504,0.06846719030390841,scale,,scale,0.00018160071220192953,342,342,2026-04-15 11:38:43.378659,2026-04-15 11:40:10.897859,0 days 00:01:27.519200
36,COMPLETE,0.002247051635342683,30.68639749220894,0.002247051635342683,189,0.41015682264526354,scale,,scale,0.0006694702214748056,485,485,2026-04-15 11:38:11.444172,2026-04-15 11:38:43.377647,0 days 00:00:31.933475
38,COMPLETE,0.0022864558471094886,28.805786441433966,0.0022864558471094886,441,0.0034752586655431906,scale,,scale,0.0016381253548190115,405,405,2026-04-15 11:40:10.900295,2026-04-15 11:42:14.101698,0 days 00:02:03.201403
48,COMPLETE,0.0023075072311358118,30.203197314507385,0.0023075072311358118,441,0.05915950344903454,numeric,8.347980824190753,8.347980824190753,3.473212465433248e-05,405,405,2026-04-15 11:51:31.165720,2026-04-15 11:53:06.166514,0 days 00:01:35.000794
32,COMPLETE,0.0023309402124405535,33.93956606509392,0.0023309402124405535,189,0.6916819425290852,scale,,scale,0.00010883237309773542,485,485,2026-04-15 11:18:20.675972,2026-04-15 11:18:54.189648,0 days 00:00:33.513676
25,COMPLETE,0.0023581339448749765,28.81806156097932,0.0023581339448749765,441,0.21543068569378251,scale,,scale,0.0002176308470058642,405,405,2026-04-15 11:11:47.127109,2026-04-15 11:13:13.127431,0 days 00:01:26.000322
43,COMPLETE,0.0024346644640364794,95.22502660254311,0.0024346644640364794,189,1.366250293721574,scale,,scale,0.0005026437723925479,485,485,2026-04-15 11:46:11.288067,2026-04-15 11:47:10.045717,0 days 00:00:58.757650
2,COMPLETE,0.00244681908033162,98.60119472302294,0.00244681908033162,252,4.418441521199721,scale,,scale,0.062451395747430666,485,485,2026-04-15 10:39:57.073797,2026-04-15 10:40:53.237237,0 days 00:00:56.163440
10,COMPLETE,0.0025180437789930625,210.98222691049682,0.0025180437789930625,378,5.13050466151616,numeric,1.113651142433132,1.113651142433132,0.00030955323601318513,468,468,2026-04-15 10:58:45.068070,2026-04-15 11:00:57.998815,0 days 00:02:12.930745
39,COMPLETE,0.002525210663377873,190.35240265402192,0.002525210663377873,189,3.1057918551419315,scale,,scale,0.010696927801824267,485,485,2026-04-15 11:42:14.105367,2026-04-15 11:43:18.561224,0 days 00:01:04.455857
13,COMPLETE,0.0026824177070775795,89.03366013601094,0.0026824177070775795,315,14.051753324291582,scale,,scale,0.0982223672747622,485,485,2026-04-15 11:03:23.116714,2026-04-15 11:04:54.769349,0 days 00:01:31.652635
29,COMPLETE,0.003379290089090645,202.89554574801394,0.003379290089090645,189,47.48639643733492,scale,,scale,0.0018331352817818618,485,485,2026-04-15 11:15:41.495366,2026-04-15 11:17:19.609042,0 days 00:01:38.113676
7,COMPLETE,0.004003201124918976,503.85001578645404,0.004003201124918976,441,210.511805196087,scale,,scale,0.007128188058401363,405,405,2026-04-15 10:44:51.575398,2026-04-15 10:57:41.439943,0 days 00:12:49.864545
33,COMPLETE,0.013459368821263296,3877.989432932672,0.013459368821263296,189,918.4525204476176,scale,,scale,0.001957793648813574,485,485,2026-04-15 11:18:54.190777,2026-04-15 11:37:07.450020,0 days 00:18:13.259243
