Date,US_EQUITY,INTL_EQUITY,US_BONDS,INTL_BONDS,US_REIT,INTL_REIT,GOLD,BTC
2017-03-27,202.96194458007812,39.46397018432617,84.35926055908203,40.75215530395508,59.979129791259766,19.498151779174805,24.15999984741211,1045.77001953125
2017-03-28,204.4557647705078,39.46397018432617,84.16506958007812,40.72456741333008,60.24325180053711,19.483980178833008,24.079999923706055,1047.1500244140625
2017-03-29,204.7580108642578,39.688690185546875,84.35147857666016,40.86643600463867,60.50736618041992,19.5123233795166,24.139999389648438,1039.969970703125
2017-03-30,205.2760772705078,39.688690185546875,84.19615936279297,40.8427848815918,60.6860466003418,19.39896011352539,23.940000534057617,1026.4300537109375
2017-03-31,204.87887573242188,39.595699310302734,84.25829315185547,40.827030181884766,60.97346878051758,19.45563507080078,24.020000457763672,1071.7900390625
2017-04-03,204.5334930419922,39.3508415222168,84.57112884521484,40.94388198852539,61.027854919433594,19.476892471313477,24.139999389648438,1143.81005859375
2017-04-04,204.6284942626953,39.3508415222168,84.4933090209961,40.94388198852539,60.97346878051758,19.547748565673828,24.18000030517578,1133.25
2017-04-05,204.02403259277344,39.47172164916992,84.58671569824219,41.007041931152344,60.98902893066406,19.554828643798828,24.200000762939453,1124.780029296875
2017-04-06,204.55941772460938,39.47172164916992,84.57896423339844,40.975460052490234,61.40850067138672,19.661102294921875,24.100000381469727,1182.6800537109375
2017-04-07,204.369384765625,39.47172164916992,84.39218139648438,40.9517707824707,61.47840118408203,19.689443588256836,24.15999984741211,1176.9000244140625
2017-04-10,204.51625061035156,39.38648986816406,84.50109100341797,41.007041931152344,61.90566635131836,19.625682830810547,24.15999984741211,1187.1300048828125
2017-04-11,204.25717163085938,39.38648986816406,84.74236297607422,41.03860855102539,62.24746322631836,19.795726776123047,24.479999542236328,1205.010009765625
2017-04-12,203.42823791503906,39.52595901489258,84.92910766601562,41.08597183227539,62.10765075683594,19.90908432006836,24.68000030517578,1200.3699951171875
2017-04-13,202.08120727539062,39.363243103027344,85.0380630493164,41.07808303833008,61.98336410522461,19.894916534423828,24.799999237060547,1169.280029296875
2017-04-17,203.83412170410156,39.5492057800293,84.99140167236328,41.08597183227539,62.76018524169922,20.09329605102539,24.700000762939453,1193.9100341796875
2017-04-18,203.22096252441406,39.29350280761719,85.33381652832031,41.101768493652344,62.907779693603516,20.0507869720459,24.81999969482422,1211.6700439453125
2017-04-19,202.8669891357422,39.42523193359375,85.20154571533203,41.11439895629883,62.80679702758789,19.902000427246094,24.6200008392334,1210.2900390625
2017-04-20,204.41261291503906,39.5492057800293,85.06920623779297,41.07020950317383,62.845645904541016,19.958675384521484,24.65999984741211,1229.0799560546875
2017-04-21,203.89451599121094,39.47947311401367,85.09256744384766,41.07808303833008,62.597049713134766,19.894916534423828,24.739999771118164,1222.050048828125
2017-04-24,206.06182861328125,40.362823486328125,84.96807098388672,41.06862258911133,62.05327224731445,19.937423706054688,24.579999923706055,1250.1500244140625
2017-04-25,207.2793731689453,40.362823486328125,84.6878890991211,40.9517707824707,62.23191833496094,20.100385665893555,24.31999969482422,1265.489990234375
2017-04-26,207.19300842285156,40.362823486328125,84.79680633544922,40.959659576416016,61.82023239135742,19.99410629272461,24.440000534057617,1281.0799560546875
2017-04-27,207.31394958496094,40.362823486328125,84.87464141845703,41.101768493652344,61.890159606933594,20.02953338623047,24.360000610351562,1317.72998046875
2017-04-28,206.85623168945312,40.56892776489258,85.02246856689453,41.093875885009766,61.3153076171875,19.92325210571289,24.420000076293945,1316.47998046875
2017-05-01,207.4261474609375,40.713050842285156,84.80331420898438,41.0479736328125,61.688167572021484,19.972850799560547,24.18000030517578,1421.5999755859375
2017-05-02,207.5038604736328,40.87345504760742,84.92035675048828,41.103389739990234,61.53279495239258,20.16415023803711,24.200000762939453,1452.8199462890625
2017-05-03,207.29666137695312,40.87345504760742,84.8345718383789,41.103389739990234,60.794803619384766,20.09329605102539,23.84000015258789,1490.0899658203125
2017-05-04,207.4347686767578,40.98271560668945,84.76437377929688,41.12712097167969,60.530670166015625,20.06495475769043,23.6200008392334,1537.6700439453125
2017-05-05,208.3241729736328,41.44763946533203,84.77997589111328,41.095462799072266,61.11330032348633,20.171226501464844,23.639999389648438,1555.449951171875
2017-05-08,208.24647521972656,41.2539176940918,84.61613464355469,41.040061950683594,60.76374053955078,20.171226501464844,23.600000381469727,1723.3499755859375
2017-05-09,208.0910186767578,41.083438873291016,84.62398529052734,41.000492095947266,60.43747329711914,20.16415023803711,23.459999084472656,1755.3599853515625
2017-05-10,208.4277801513672,41.16868209838867,84.6473617553711,40.97673416137695,60.76374053955078,20.178319931030273,23.479999542236328,1787.1300048828125
2017-05-11,208.0478515625,41.06019973754883,84.63957977294922,41.012351989746094,60.43747329711914,20.171226501464844,23.540000915527344,1848.5699462890625
2017-05-12,207.7283935546875,41.2539176940918,84.95153045654297,41.11921310424805,60.27431869506836,20.19248390197754,23.6200008392334,1724.239990234375
2017-05-15,208.7818603515625,41.2539176940918,84.92035675048828,41.06380081176758,60.49184799194336,20.29876136779785,23.700000762939453,1738.4300537109375
2017-05-16,208.60910034179688,41.72658157348633,85.02957153320312,41.055885314941406,60.15004348754883,20.28459358215332,23.780000686645508,1734.449951171875
2017-05-17,204.93931579589844,41.26165771484375,85.46634674072266,41.23001480102539,60.4685173034668,20.185401916503906,24.239999771118164,1839.0899658203125
2017-05-18,205.67330932617188,41.32752990722656,85.41948699951172,41.16669845581055,60.63167190551758,20.171226501464844,24.040000915527344,1888.6500244140625
2017-05-19,207.11532592773438,41.78082275390625,85.41948699951172,41.27751159667969,60.98902893066406,20.270427703857422,24.15999984741211,1987.7099609375
2017-05-22,208.09963989257812,41.881553649902344,85.36492919921875,41.20627975463867,61.16767501831055,20.369613647460938,24.239999771118164,2173.39990234375
2017-05-23,208.5487060546875,41.87381362915039,85.20112609863281,41.071720123291016,61.307498931884766,20.28459358215332,24.100000381469727,2320.419921875
2017-05-24,209.06680297851562,41.96678924560547,85.34932708740234,41.25375747680664,61.71923065185547,20.37670135498047,24.200000762939453,2443.639892578125
2017-05-25,210.0597686767578,41.91254806518555,85.3883285522461,41.293338775634766,61.85130310058594,20.433378219604492,24.18000030517578,2304.97998046875
2017-05-26,210.02523803710938,41.78857421875,85.3571548461914,41.35667419433594,61.47064208984375,20.41921043395996,24.3799991607666,2202.419921875
2017-05-30,209.89576721191406,41.78082275390625,85.52091217041016,41.33292770385742,61.229820251464844,20.433378219604492,24.280000686645508,2175.469970703125
2017-05-31,209.7402801513672,41.82732009887695,85.606689453125,41.34082794189453,61.245365142822266,20.504234313964844,24.399999618530273,2286.409912109375
2017-06-01,211.45863342285156,42.1295166015625,85.56764221191406,41.3249626159668,61.49395751953125,20.716781616210938,24.420000076293945,2407.8798828125
2017-06-02,212.1321563720703,42.516963958740234,85.84898376464844,41.356712341308594,62.09990310668945,20.936416625976562,24.579999923706055,2488.550048828125
2017-06-05,211.99395751953125,42.37746810913086,85.71611785888672,41.34082794189453,61.90566635131836,20.815977096557617,24.6200008392334,2686.81005859375
