Date,cov_US_EQUITY__US_EQUITY,cov_US_EQUITY__INTL_EQUITY,cov_US_EQUITY__US_BONDS,cov_US_EQUITY__INTL_BONDS,cov_US_EQUITY__US_REIT,cov_US_EQUITY__INTL_REIT,cov_US_EQUITY__GOLD,cov_US_EQUITY__BTC,cov_INTL_EQUITY__INTL_EQUITY,cov_INTL_EQUITY__US_BONDS,cov_INTL_EQUITY__INTL_BONDS,cov_INTL_EQUITY__US_REIT,cov_INTL_EQUITY__INTL_REIT,cov_INTL_EQUITY__GOLD,cov_INTL_EQUITY__BTC,cov_US_BONDS__US_BONDS,cov_US_BONDS__INTL_BONDS,cov_US_BONDS__US_REIT,cov_US_BONDS__INTL_REIT,cov_US_BONDS__GOLD,cov_US_BONDS__BTC,cov_INTL_BONDS__INTL_BONDS,cov_INTL_BONDS__US_REIT,cov_INTL_BONDS__INTL_REIT,cov_INTL_BONDS__GOLD,cov_INTL_BONDS__BTC,cov_US_REIT__US_REIT,cov_US_REIT__INTL_REIT,cov_US_REIT__GOLD,cov_US_REIT__BTC,cov_INTL_REIT__INTL_REIT,cov_INTL_REIT__GOLD,cov_INTL_REIT__BTC,cov_GOLD__GOLD,cov_GOLD__BTC,cov_BTC__BTC
2017-04-11,1.8843781652737425e-05,1.8473424808341767e-05,-4.322312192740099e-06,-1.6730620360932503e-06,7.761595163654656e-06,1.0849954003096053e-05,-1.247262554960585e-05,4.7958613439988765e-05,3.997076783861294e-05,-2.6134816086155344e-06,-1.0382164399840441e-07,-1.1861681153521783e-06,9.449225282738535e-06,-1.0148103428092812e-05,3.3437121262348136e-05,3.2714510782754256e-06,1.2617383757698986e-06,6.088871141943425e-08,-1.592791012780731e-07,9.48031624738383e-06,-1.9927297279130648e-05,1.4645278457748418e-06,-4.0972144019264994e-07,-1.8761746549928664e-07,2.4124105124471127e-06,-7.129448255616535e-06,3.93246851167108e-05,1.7554521597803284e-05,8.907041897377535e-06,-1.1611547775290836e-05,2.640895928219284e-05,3.409909562443746e-06,4.005270730525507e-05,4.885728826646858e-05,-9.241043899261234e-05,0.001084098190210069
2017-04-12,1.892581933128585e-05,1.8702683181820704e-05,-4.142197531173832e-06,-1.7020942395394305e-06,8.561754418320158e-06,1.140122392693177e-05,-1.1900144710110066e-05,4.59239341871477e-05,4.03022652205991e-05,-2.6019190811685647e-06,-2.130188071120101e-07,-5.097380304533503e-07,9.493376673719719e-06,-1.0468759299807522e-05,2.9190294895327528e-05,2.8846735985559656e-06,1.1533572338948912e-06,-6.631425668675987e-07,-1.3291363432815562e-06,7.68248175568148e-06,-2.2105286601644214e-05,1.4722544171010275e-06,-8.344649951418487e-07,-5.185400014263868e-07,2.0354859871354032e-06,-6.278757525858573e-06,3.926133746291246e-05,1.53827096712306e-05,4.8028103563435835e-06,-2.4196872384811014e-05,2.287083249044228e-05,-2.0382237480224942e-06,3.334583211959265e-05,4.0922939869396576e-05,-9.766932184901427e-05,0.0011278625601034188
2017-04-13,1.825071160228661e-05,1.904286747250571e-05,-3.985023606535123e-06,-1.6691245802871082e-06,8.324034351971824e-06,1.2429960822302962e-05,-1.0572669562395528e-05,5.02709935235414e-05,4.076207576564314e-05,-2.1479379044814964e-06,1.7597677308512e-07,-7.369931992985129e-07,8.768278262127768e-06,-1.1078029049555944e-05,1.4235107809867985e-05,3.2984439431048084e-06,1.4882877859598004e-06,-9.009342862677152e-07,-1.7432517262182706e-06,7.423804428784936e-06,-3.389933626376894e-05,1.7312767802698116e-06,-1.0458544039903887e-06,-7.016128977623504e-07,2.0089801959087656e-06,-1.4693289290925416e-05,3.9368430161933295e-05,1.5858603261939134e-05,5.237453758079022e-06,-1.5648293386769916e-05,2.1370930960836104e-05,-4.08057719485875e-06,3.090206724026078e-05,3.8318339159377776e-05,-0.00010742305814661395,0.0013580002401925417
2017-04-17,1.7367228799798082e-05,1.7737772659112953e-05,-3.6677749377391733e-06,-2.054626132715006e-06,8.557871356495314e-06,1.3469039520040646e-05,-8.223743847867524e-06,4.394320370787758e-05,3.9951698645818326e-05,-1.8960142234334985e-06,1.382914411200305e-07,-1.130496340615937e-06,8.628435754664683e-06,-1.0125205508559775e-05,9.080152674258833e-06,3.226551980356531e-06,1.5235889032787484e-06,-8.41602592757978e-07,-1.7915840161570024e-06,7.0684594521479996e-06,-3.2440155667374994e-05,1.8161185567139747e-06,-1.2954462744334118e-06,-1.0451758870186125e-06,1.836164607181234e-06,-1.545932124748164e-05,3.9795133535853315e-05,1.6690982619264996e-05,6.280065671651612e-06,-1.6745671400978552e-05,2.265877183586488e-05,-3.071014751543223e-06,3.206110969672443e-05,3.774244661982521e-05,-0.00010004231701464708,0.001328407476384017
2017-04-18,1.3847749318392665e-05,1.5350490702473352e-05,-3.4923799376951288e-06,-2.1259521734758653e-06,3.658791557681284e-06,9.415846980507557e-06,-6.6948093472158816e-06,3.546030579462575e-05,4.507421879325795e-05,-1.0754125889679306e-06,-9.046233996211735e-09,-6.999868804229015e-06,6.022802983154749e-06,-7.3902362250618796e-06,3.1580318794646545e-06,3.290830617287463e-06,1.5168449107880014e-06,-8.624511524176704e-07,-1.5746392841516934e-06,7.168965222487096e-06,-3.203490326340699e-05,1.8161255506723212e-06,-1.357356690845096e-06,-1.1294269870030397e-06,1.8422284809571818e-06,-1.562876855574098e-05,3.393736851885219e-05,1.0994717494458695e-05,7.767058026281271e-06,-2.8490280661721057e-05,1.7993992708093187e-05,-1.2740420312868698e-06,2.2288236109169272e-05,3.750584706165411e-05,-9.63995123922073e-05,0.0013079655896094105
2017-04-19,2.8415756448639955e-05,2.388956720943559e-05,-7.245620153932071e-06,-5.647742348503601e-06,-4.6775903982438404e-07,1.3254953007636252e-05,-2.219216425617675e-05,-1.1931345387272195e-05,4.9048725450968126e-05,-2.5669775692746106e-06,-2.1484850172792105e-06,-9.092128681156041e-06,7.98396589934871e-06,-1.611558493885207e-05,-2.3536478728513614e-05,3.7709051068268e-06,2.4758230768127424e-06,-2.3730259809201324e-08,-2.3650022754742005e-06,1.091526068618074e-05,-2.0570320512168355e-05,2.662035442555939e-06,-3.3596818160396957e-07,-2.078600792445582e-06,5.614817141177589e-06,-4.09288542916059e-06,3.50028143115704e-05,9.998848449600998e-06,1.2043292738056828e-05,-1.5409556179299093e-05,1.8924600300857414e-05,-5.257498744684126e-06,1.010327522482314e-05,5.386716431486097e-05,-4.6361657377700214e-05,0.001460996338966834
2017-04-20,2.8879572359504873e-05,2.4438920680873068e-05,-7.467686425271823e-06,-5.883843497867908e-06,-1.4247112095469337e-07,1.2517026318029388e-05,-2.4274253530761043e-05,-7.499214534373814e-06,4.863644535838095e-05,-2.3613109455981242e-06,-2.3141965376607325e-06,-8.631471900718139e-06,9.117626814997663e-06,-1.5455349563832294e-05,-2.133542120030744e-05,3.6705674089548408e-06,2.5386277216267233e-06,-2.1270886750975583e-07,-2.8969454808454862e-06,1.0533637888206976e-05,-2.1348181164179015e-05,2.770008767801585e-06,-5.096324211283548e-07,-1.9181586942529325e-06,6.33959249976122e-06,-6.022272175543013e-06,3.522560293269958e-05,9.338944055098204e-06,1.0361359470220791e-05,-1.2084989705494062e-05,1.63065634988692e-05,-7.849836468672887e-06,8.809670729621984e-06,5.401874900882567e-05,-5.729165864616566e-05,0.0014946061394619124
2017-04-21,2.8460701210732113e-05,2.6933420941300074e-05,-6.905879677915736e-06,-4.6006961092719865e-06,1.5891892472857222e-06,1.3121228699452934e-05,-2.320439283063877e-05,3.940550945082047e-06,5.383363693348108e-05,-2.1289111715404896e-06,-7.569581426557156e-07,-5.6713076315466374e-06,1.1240696141417119e-05,-1.3111550918432026e-05,2.916503735306934e-06,3.5555166313754435e-06,2.4590107262392638e-06,-1.6694871591250824e-07,-2.6864436931806664e-06,1.0653793411781326e-05,-2.0207876499583232e-05,3.059027253836083e-06,2.742784273394018e-07,-1.1445224700974617e-06,7.060129079893139e-06,1.31079486815066e-06,3.685182820424532e-05,1.0627969051671884e-05,1.1706914174616065e-05,1.7667352019924726e-06,1.7067377765686718e-05,-6.906527931805976e-06,1.8665211014189278e-05,5.5073863284862256e-05,-4.636150260129546e-05,0.00160774929448105
2017-04-24,2.922457605427033e-05,2.726385140637444e-05,-7.017022619339117e-06,-4.967540453436601e-06,1.7706392826913411e-06,1.383665979791941e-05,-2.2066571388095284e-05,2.341227670958216e-05,5.396144971720417e-05,-2.1791284439034165e-06,-9.389132158626385e-07,-5.668988878062581e-06,1.1531517539540158e-05,-1.2460258543656215e-05,1.2675777339818804e-05,3.571384960678386e-06,2.509093280341153e-06,-2.0412896238090204e-07,-2.7931779189258764e-06,1.0510757319944492e-05,-2.2851874535812093e-05,3.199396915963733e-06,6.993151994692551e-08,-1.5168050894070097e-06,6.758516938712871e-06,-5.984037585119387e-06,3.651124548749752e-05,1.0703950982741958e-05,1.2778613221517643e-05,1.3123435530210302e-05,1.771442717766486e-05,-5.644604217959879e-06,3.855053189652105e-05,5.509471854619968e-05,-3.141786378280712e-05,0.001986001046743166
2017-04-25,2.412176357800715e-05,1.6103007987430797e-05,-6.476762649697889e-06,-5.187045611733424e-06,6.398313672692784e-06,1.2332821820206711e-05,-1.93941565142305e-05,1.868373545500865e-05,3.0645891307925045e-05,-6.19145639137934e-07,-6.669450441251375e-07,3.504982055702561e-06,9.319535322093255e-06,-5.572448919993683e-06,-1.185520222293127e-05,3.6448550087579758e-06,2.7920882385469785e-06,-1.0213909287314373e-06,-2.261906738388635e-06,1.0587957142252145e-05,-2.7251849308885397e-05,3.706313090499897e-06,-3.816458142349142e-07,-8.419036355781267e-07,7.589389021649141e-06,-1.5929208961092512e-05,3.31343190322834e-05,1.1135831270955246e-05,9.45293871842202e-06,2.9686916753040038e-05,1.8330566976790623e-05,-3.831603988224888e-06,2.3203655455258206e-05,5.468772862519159e-05,-4.2448098849218684e-05,0.00216541024270296
