Date,cov_US_EQUITY__US_EQUITY,cov_US_EQUITY__INTL_EQUITY,cov_US_EQUITY__US_BONDS,cov_US_EQUITY__INTL_BONDS,cov_US_EQUITY__US_REIT,cov_US_EQUITY__INTL_REIT,cov_US_EQUITY__GOLD,cov_US_EQUITY__BTC,cov_INTL_EQUITY__INTL_EQUITY,cov_INTL_EQUITY__US_BONDS,cov_INTL_EQUITY__INTL_BONDS,cov_INTL_EQUITY__US_REIT,cov_INTL_EQUITY__INTL_REIT,cov_INTL_EQUITY__GOLD,cov_INTL_EQUITY__BTC,cov_US_BONDS__US_BONDS,cov_US_BONDS__INTL_BONDS,cov_US_BONDS__US_REIT,cov_US_BONDS__INTL_REIT,cov_US_BONDS__GOLD,cov_US_BONDS__BTC,cov_INTL_BONDS__INTL_BONDS,cov_INTL_BONDS__US_REIT,cov_INTL_BONDS__INTL_REIT,cov_INTL_BONDS__GOLD,cov_INTL_BONDS__BTC,cov_US_REIT__US_REIT,cov_US_REIT__INTL_REIT,cov_US_REIT__GOLD,cov_US_REIT__BTC,cov_INTL_REIT__INTL_REIT,cov_INTL_REIT__GOLD,cov_INTL_REIT__BTC,cov_GOLD__GOLD,cov_GOLD__BTC,cov_BTC__BTC
2021-01-19,5.418867339366839e-05,3.8467468199156755e-05,-9.045383004104952e-07,-7.387008615624774e-07,4.765544098467255e-05,2.9303744559443404e-05,-9.466870185448784e-06,0.0001433590197021897,8.019013940074297e-05,-5.555604909848754e-06,-4.94758811297251e-06,1.9743553456226484e-05,6.516088443702754e-05,7.170618349473378e-06,0.00024396544337730017,3.117369192246033e-06,1.5881512022599588e-06,4.310206280968407e-06,-7.828245975784213e-07,4.235957919200975e-06,-4.715753436492002e-06,1.967451428875908e-06,3.3497559280188523e-06,-3.0092408994317083e-06,-1.5481154131049505e-06,1.1983474298045038e-05,0.00012559008365217283,4.807220273727657e-05,-4.043093076230526e-05,6.75392815907813e-05,9.04240613262715e-05,6.337452732996607e-06,0.00015858592319406168,0.00013087242083792498,2.500743719681949e-05,0.004137234881166283
2021-01-20,5.4580537632381325e-05,3.9645502664175296e-05,-2.128488945663454e-07,-5.275201222975794e-07,4.3523017011894345e-05,3.0146362365725045e-05,-4.885648143669731e-06,0.00012506503238355574,7.87144860936295e-05,-4.61233832644886e-06,-4.49106944996521e-06,1.7340741482792212e-05,6.373991983777692e-05,1.0580532698838674e-05,0.00022005303010215154,3.0418505041722976e-06,1.5220559790471686e-06,3.8288508331925905e-06,-2.808077787657227e-07,4.683957719747406e-06,-6.128613299372373e-06,1.8570465090919169e-06,3.090462415837127e-06,-2.7095672666780786e-06,-1.2714225627256477e-06,1.0820549596418182e-05,0.00011849955789075301,4.427901570575162e-05,-3.9407476375439784e-05,6.68739144555157e-05,8.685533979203542e-05,8.822206284824744e-06,0.0001421514024338503,0.0001274408927369359,1.2830117861711133e-05,0.003914786885168092
2021-01-21,6.251346645030133e-05,4.320726329440053e-05,-1.3015622728545018e-07,-1.0812991900929622e-06,5.72726090649063e-05,3.6184889033419905e-05,8.38751184171421e-06,0.00010560558879248688,7.714027709199171e-05,-4.298537153445153e-06,-4.531903043074818e-06,2.4972163676498547e-05,6.407486236168901e-05,1.6825549018682824e-05,0.00020051300862127295,2.8597756938589748e-06,1.4270803029979456e-06,3.70119080283355e-06,-2.150023968775073e-07,4.483898568929929e-06,-5.835483405304869e-06,1.7762032968156675e-06,2.0504296428919346e-06,-2.956892396997395e-06,-1.8731403596786842e-06,1.0795806738597989e-05,0.00013527316277941757,5.3077693978919124e-05,-1.809492796966728e-05,4.54089042110297e-05,8.713844856473163e-05,1.7381060925683046e-05,0.00012525143833405075,0.00013482696409290864,-1.7857358703902683e-06,0.003692652886114846
2021-01-22,5.8809361213078185e-05,4.0689536412645926e-05,-1.9903007176563223e-07,-1.148902174140049e-06,5.3676087270094355e-05,3.3330748727822134e-05,7.854563126705825e-06,9.172445852078936e-05,7.26313699630408e-05,-4.1632926497823395e-06,-4.471914434675874e-06,2.321762255539737e-05,5.9137721934647046e-05,1.5768509116386685e-05,0.0001764130575838192,2.8140985679823256e-06,1.5589815301646322e-06,3.742101447256666e-06,9.194214157452788e-07,4.263627063156511e-06,6.902763191508276e-06,2.045437627219275e-06,2.3817420427284448e-06,-8.418905721409582e-07,-1.6765080887476386e-06,3.155025620032179e-05,0.00012770605346646143,5.223551514457233e-05,-1.6907384148406484e-05,6.855894866427014e-05,9.189998500100641e-05,1.6772542825625017e-05,0.00022808208756686983,0.00012675623103410754,3.1190991079295634e-06,0.004689949797422487
2021-01-25,5.5975645696979634e-05,3.940322659312402e-05,-1.8708826745969429e-07,-1.2626092051218948e-06,5.005137680889668e-05,3.09524706612805e-05,8.878291307407028e-06,7.226845802095316e-05,7.019358051492463e-05,-3.913495090795399e-06,-4.5072091228560035e-06,2.115274319516372e-05,5.496037853100643e-05,1.73075825096558e-05,0.00014263458499376604,2.645252653903386e-06,1.4654426383547542e-06,3.5175753604212655e-06,8.64256130800562e-07,4.00780943936712e-06,6.488597400017779e-06,1.9707188220669375e-06,2.3450675864445324e-06,-6.919055237396381e-07,-1.9688806977769186e-06,3.332468117521767e-05,0.00012027875432454386,4.9321493315006904e-05,-1.676248308520591e-05,7.256066075258922e-05,8.659209144279317e-05,1.4951969312326959e-05,0.0002219961118919744,0.00012236744096363127,-2.7087734045627267e-05,0.004688720117008315
2021-01-26,5.356439872010583e-05,3.655015573444112e-05,4.3336773500150185e-07,-8.46009570980321e-07,4.8816544842871044e-05,2.812207908749093e-05,8.345593828962607e-06,6.326876202414637e-05,6.623426490926899e-05,-3.993096479549996e-06,-4.412678487818729e-06,1.897102181095778e-05,5.216502613871814e-05,1.626912755907645e-05,0.00013648328938284143,2.878351365930683e-06,1.5967221147793595e-06,4.44373392130827e-06,1.8647985252607258e-07,3.7673408730050926e-06,3.099993025396244e-06,1.975113733875923e-06,2.8405941211890414e-06,-1.0005718543343196e-06,-1.8507478559103033e-06,2.964720421008099e-05,0.00011636271260359238,4.454551089289631e-05,-1.5756734100093556e-05,5.95017903705307e-05,8.239647181674986e-05,1.405485115358734e-05,0.0002134676952183953,0.00011502539450581338,-2.546247000288963e-05,0.004430356106559771
2021-01-27,5.0481707950577386e-05,3.4203196522883474e-05,4.375735393435386e-07,-8.110861261158044e-07,4.5244575313218136e-05,2.60068833707126e-05,8.045689624643525e-06,5.891671275207253e-05,6.244089051116255e-05,-3.788963809143545e-06,-4.129330713259704e-06,1.8587382895685932e-05,4.9537290429210456e-05,1.5057276406268682e-05,0.00012894674531960715,2.7126068546619924e-06,1.4972716550164702e-06,4.029038735632829e-06,7.675664594155582e-08,3.587549893996365e-06,2.7859697971863677e-06,1.8585189982579507e-06,2.747787982033848e-06,-8.88878741328838e-07,-1.7639502728278548e-06,2.7935491127502398e-05,0.00011253265584820444,4.397009296753163e-05,-1.5795753706970737e-05,5.865667626689433e-05,7.884834689727194e-05,1.2556472250481807e-05,0.0002024729889292665,0.0001084313519038449,-2.478586333560941e-05,0.004166890793866764
2021-01-28,8.406055916935975e-05,6.90502619364077e-05,2.8561968964116585e-07,2.9625888582511116e-07,6.736959633779133e-05,3.601005176278711e-05,1.5983728552827685e-05,0.00015597472347580758,9.588751900479395e-05,-3.6883263487061406e-06,-2.8144608751392975e-06,4.250963122397853e-05,5.822071392229298e-05,2.2641673873291575e-05,0.00022260396517193156,2.550282055457663e-06,1.403800184274245e-06,3.702004760455955e-06,3.2445569338802826e-08,3.3433826065379666e-06,2.2734070455808564e-06,1.777624405397747e-06,3.3012735753109276e-06,-5.011324209572525e-07,-1.4145880607419247e-06,2.9168466565616053e-05,0.00012263533553946772,4.9178198955397996e-05,-9.134202038839351e-06,0.000123393302805118,7.777012621710577e-05,1.4463022552423183e-05,0.00022209972228803775,0.0001038624795868609,-1.595789376962241e-07,0.004193292950613294
2021-01-29,8.327526383852016e-05,6.921814147092018e-05,-7.558666878263535e-08,-3.5407005062672144e-07,6.550267386522031e-05,3.629449076962916e-05,1.5024704839658022e-05,0.00019464616564994757,9.449836881312478e-05,-3.815342496794156e-06,-3.2859536922937617e-06,4.2161153951817215e-05,5.720269026592412e-05,2.128317344089408e-05,0.00025787044519093625,2.425065553913398e-06,1.3706818121665976e-06,3.3041263323569033e-06,-1.6705795439485214e-07,3.1427796501456883e-06,-1.7437640325126355e-06,1.7649293713509822e-06,2.780074897608791e-06,-8.342624252029347e-07,-1.3297127770974092e-06,2.028376960224672e-05,0.00011638838288815468,4.74764885852915e-05,-8.58614991650899e-06,0.00014052445249175993,7.45078068804123e-05,1.3595241199277791e-05,0.00023635144289693488,9.763073081164923e-05,-1.5000420143445065e-07,0.004483426357041188
2021-02-01,0.00010243558830488121,8.9225973602303e-05,1.2623427027319835e-06,5.290560860687908e-07,7.393192711018438e-05,4.398845189763967e-05,1.4123222549278541e-05,0.00015276109254258865,0.00011299346831614694,-2.2528025524821995e-06,-2.2267689569393774e-06,5.1992986015581405e-05,6.36438268376285e-05,2.0006183034440433e-05,0.00021218681317561455,2.353161478708682e-06,1.3360145236886715e-06,3.7880859432618566e-06,3.87853617009532e-07,2.954212871136947e-06,-3.3064468323055153e-06,1.6897843388194686e-06,3.054236822699547e-06,-4.3200084717507335e-07,-1.2499300104715645e-06,1.7989025203708827e-05,0.0001157285520478175,4.967854183904132e-05,-8.07098092151845e-06,0.00011663847258636277,7.40713548785282e-05,1.2779526727321123e-05,0.00020982662832608103,9.177288696295027e-05,-1.410039493483836e-07,0.004252191474927627
2021-02-02,0.0001120998729485217,9.652773549607063e-05,2.1175015262402536e-06,1.0201375882883535e-06,9.274359637249966e-05,4.8973685346983266e-05,2.2115123330483044e-05,0.00012122476678075406,0.00011634370703557514,-1.3725036599067789e-06,-1.6746719643132863e-06,6.748174453837742e-05,6.592819786856638e-05,2.5881152175667573e-05,0.00018154919383227397,2.2667820777221923e-06,1.286636980581786e-06,4.929591911186854e-06,8.135066001294329e-07,3.2974075954872325e-06,-4.425218827913294e-06,1.6056862463329437e-06,3.639742426877208e-06,-1.539496433797487e-07,-8.826331324252631e-07,1.616992235053789e-05,0.0001429680045304629,5.790892648064617e-05,5.410544388225432e-06,7.674642553565141e-05,7.330399165715292e-05,1.627548545744326e-05,0.00018644882849034946,9.12083888552067e-05,-1.2639538864409693e-05,0.004028712936830315
2021-02-03,0.0001172939594649913,0.00010064008023588907,6.910495312946307e-07,5.0685246576800584e-08,9.171774380765558e-05,4.6349297316310934e-05,1.021688869394593e-05,0.00016229807972091177,0.00011759200596254683,-2.3697845477278792e-06,-2.328822347144543e-06,6.720395174924154e-05,6.223342595662833e-05,1.5544908400371088e-05,0.00021082603720704466,2.2724223117385142e-06,1.3084460003036353e-06,4.13904806347606e-06,7.304636123151892e-07,4.2519382922551936e-06,-9.42996633456071e-06,1.5785482477974229e-06,3.07552922620229e-06,-1.6864024945280696e-07,-2.41984748897847e-08,1.1515968316846516e-05,0.00013611813190967875,5.4553964080155075e-05,1.0607075588057625e-06,9.055046721913247e-05,6.891402532290906e-05,1.5020455945159573e-05,0.00017653558956836596,9.511107175757116e-05,-5.4757546553813795e-05,0.003983080554763764
2021-02-04,0.00011029311728215524,9.466159148728346e-05,5.933490177334921e-07,1.3968093801372984e-08,8.60860735151629e-05,4.3620631356269707e-05,9.523210131884823e-06,0.00015508683756399968,0.00011063405041909162,-2.3191723348077158e-06,-2.243929657585298e-06,6.296229856173344e-05,5.8584570307041874e-05,1.4480861993811055e-05,0.00020229075411464837,2.2220296295738206e-06,1.281409216382039e-06,4.087264242151519e-06,6.06713633696962e-07,4.120109597579646e-06,-1.2725852904689513e-05,1.5146564880292908e-06,3.0087005274852863e-06,-2.0638064335936636e-07,5.108023812216969e-08,8.512564977705183e-06,0.0001284005410391689,5.109795788538263e-05,1.2790028208714461e-06,7.628642540054128e-05,6.485349857420736e-05,1.4004590924529403e-05,0.00016953420042798713,8.958124704766681e-05,-5.701116434155769e-05,0.0039175936465641594
2021-02-05,0.00011128317659015156,9.070157696591046e-05,2.68724649918393e-07,-1.199012734089499e-06,8.476746667016293e-05,3.9749810065411724e-05,-5.519224673129225e-06,0.0001358644589030592,0.00010438473506307682,-2.2453546960194658e-06,-2.383294365231448e-06,6.005406108718963e-05,5.478612808842915e-05,1.0340883473169841e-05,0.00018791156878265517,2.099688191502835e-06,1.2505753909429821e-06,3.695893144409377e-06,6.179359228764551e-07,4.422674924207622e-06,-1.1585536845878554e-05,1.616910422906376e-06,2.2152981613916547e-06,5.738350516808015e-09,2.353717868046708e-06,9.581934965385575e-06,0.00012264139460818995,4.739824695975467e-05,-6.114546559285747e-06,6.669494801287891e-05,6.116885338336042e-05,1.554884513746116e-05,0.00016099629347432094,0.00011173276511634227,-3.4726347018343124e-05,0.0036954658407568316
2021-02-08,0.00010552527144240825,8.682127430793656e-05,-4.90497363224921e-08,-1.2957837082414848e-06,8.01342320523283e-05,3.8409276427393614e-05,-2.727660435306337e-06,0.00013533490375030411,0.00010077558714384968,-2.6232255381504197e-06,-2.5269867351749855e-06,5.7220278304797e-05,5.3273791429398135e-05,1.3901379851990012e-05,0.00018958938763912993,2.072711046007249e-06,1.2309133565400545e-06,3.3255227237044503e-06,2.3806162088622363e-07,3.3497887095061963e-06,-1.3392106137426982e-05,1.5508653343447694e-06,1.999259672841583e-06,-1.8633111950091994e-07,1.7608499825022397e-06,7.607830604586548e-06,0.000115506002222915,4.506893235563246e-05,-4.53548297331004e-06,6.644859842839974e-05,5.8685647921134535e-05,1.7411941980622993e-05,0.0001599985635989568,0.00011161536970797736,-1.2237678261809373e-05,0.0035369525197973236
2021-02-09,0.00010257010231505522,8.550219467222407e-05,4.1648298640391207e-07,-1.2989049567168662e-06,7.654876979916698e-05,3.693629115866383e-05,2.1028784910804514e-06,0.00021341903068440089,9.921130169769216e-05,-1.9328402706247284e-06,-2.468543225374523e-06,5.519572073006513e-05,5.1035492934059004e-05,1.8444433406788748e-05,0.0002775377524959668,2.0117273120475703e-06,1.1459788792254444e-06,3.2934973465743457e-06,3.3771062662160166e-07,3.7882055635664062e-06,-7.778309784092447e-07,1.4597503232988606e-06,1.8500212996207832e-06,-1.9506855686629762e-07,1.5434206497364076e-06,5.086648229358058e-06,0.00010901834845859086,4.266591241840093e-05,-2.573454382020609e-06,9.367664879747502e-05,5.536931939933716e-05,1.7516646058253973e-05,0.00017163016251940015,0.00011136913561424647,0.00010765041240308209,0.0055256843218057395
2021-02-10,9.645842676770178e-05,8.01354878191564e-05,3.69897484666831e-07,-1.220970659313854e-06,7.173367977089246e-05,3.4496841549151663e-05,1.8610458749347892e-06,0.00020030359015281945,9.457456608133768e-05,-1.6967398287465992e-06,-2.3204306318520513e-06,5.311975735634449e-05,4.921530811261605e-05,1.7981122253661966e-05,0.00026261151474515226,1.9019901275727993e-06,1.0772201464719177e-06,3.2086996302566573e-06,4.308228947345243e-07,3.6196439384509747e-06,-5.735951789624981e-07,1.372165303900929e-06,1.7390200216435361e-06,-1.8336444345431975e-07,1.450815410752223e-06,4.781449335596574e-06,0.00010363774803200225,4.1272247495529896e-05,-1.8148831960639656e-06,8.967693371395704e-05,5.321926827996643e-05,1.7072825185657847e-05,0.00016296132264953666,0.00010500151905398009,0.00010203523008573815,0.005196407168872266
2021-02-11,9.068094001144448e-05,7.538087642881242e-05,3.246397276134866e-07,-1.1388938676221043e-06,6.727290502871018e-05,3.247212567035845e-05,1.6374926840868017e-06,0.00018912396795366267,8.918596957820502e-05,-1.7181363508772727e-06,-2.1340985678288285e-06,4.909523635458526e-05,4.6503272376093724e-05,1.630456765534703e-05,0.00025133435301347227,1.8409650232931413e-06,9.922861767365767e-07,3.3770333279359857e-06,3.011633980077269e-07,3.6600428508166506e-06,-2.4696642044562492e-06,1.2975974405170851e-06,1.496704605806394e-06,-1.3267047509937026e-07,1.26528096301768e-06,5.2326888156088825e-06,9.987204039747189e-05,3.8090366670189406e-05,4.463678222606376e-08,7.117576936018698e-05,5.022908201159035e-05,1.5544839366907175e-05,0.0001569581321766123,9.995101947449193e-05,8.654771369494674e-05,0.004954814286230842
2021-02-12,8.541030307607931e-05,7.145564457673715e-05,1.8417206642236873e-07,-1.0523880775529017e-06,6.321395129213448e-05,3.1006341614827464e-05,6.147301074932804e-07,0.00018429164129124277,8.593298825195915e-05,-2.0398274432625324e-06,-1.942252321742946e-06,4.607024840519617e-05,4.5407230052845305e-05,1.2080435987552347e-05,0.0002591280898215879,1.816504368160103e-06,9.198325264281167e-07,3.1904604299583175e-06,-5.989060853911283e-08,4.097569366684838e-06,-6.952321499064552e-06,1.2216816032746968e-06,1.4044918116174444e-06,-7.319524250832846e-08,1.0906656598452678e-06,5.614262711572156e-06,9.388271311214855e-05,3.57409357791278e-05,1.645942642601115e-07,6.604100045252726e-05,4.858326651176037e-05,1.199131048139129e-05,0.00016600988664027718,9.897526602957704e-05,4.596932496202072e-05,0.004906889840272139
2021-02-16,8.177645304877512e-05,6.855722804141529e-05,-5.187213384066769e-07,-1.6350810706649204e-06,5.982213613981697e-05,3.0130665982195052e-05,-2.8229471007984663e-07,0.00017069844268205765,8.207104297520542e-05,-2.562015672316422e-06,-2.4274313391105604e-06,4.367965848579561e-05,4.360022823261898e-05,1.0554231768648723e-05,0.00024121793778423525,2.0285880746685827e-06,1.1643654780675498e-06,2.812924559983282e-06,-5.132838897075296e-07,4.250893711547781e-06,-5.358401914562928e-06,1.42817236726773e-06,1.14649005205441e-06,-4.954011321069596e-07,1.397859295952877e-06,6.375932649615883e-06,8.835762664657416e-05,3.386136873569602e-05,-7.666237632699566e-08,6.139642809045438e-05,4.6318702759608644e-05,1.0703678425380085e-05,0.00015437437421191036,9.353303284350653e-05,4.4674209643619406e-05,0.004616789511633151
